date_reponse,agence,canal_contact,anciennete_mois,note_nps,note_delai,note_conseil,recommande,commentaire
2024-04-19,Abidjan Plateau,Commercial,22,6,2,4,Non,"Conseiller très clair"
2024-10-29,Bouaké Centre,Site web,48,5,2,3,Non,"Service rapide"
2024-04-28,Abidjan Plateau,Commercial,38,9,4,4,Oui,"Conseiller très clair"
2024-12-12,Abidjan Plateau,Téléphone,48,5,2,2,Non,"Attente trop longue"
2024-10-20,Bouaké Centre,Téléphone,65,8,4,3,Peut-être,"Produit indisponible"
2024-07-18,Bouaké Centre,Site web,11,6,2,3,Non,"Prix corrects"
2024-03-19,Abidjan Plateau,Site web,50,5,3,3,Non,"Attente trop longue"
2024-08-02,Abidjan Plateau,Téléphone,56,6,3,2,Non,""
2024-03-07,Abidjan Yopougon,Boutique,37,8,3,5,Peut-être,"Produit indisponible"
2024-07-21,San-Pédro Port,Boutique,28,6,2,4,Non,"Conseiller très clair"
2024-04-05,Bouaké Centre,Commercial,63,9,4,5,Oui,"Attente trop longue"
2024-11-05,San-Pédro Port,Site web,53,9,4,4,Oui,"Service rapide"
2024-05-19,Abidjan Plateau,Site web,15,7,4,4,Peut-être,""
2024-09-27,San-Pédro Port,Téléphone,55,9,5,4,Oui,""
2024-12-11,San-Pédro Port,Téléphone,21,8,3,4,Peut-être,"Rien à signaler"
2024-01-21,Abidjan Plateau,Commercial,68,6,3,3,Non,"Prix corrects"
2024-06-07,Abidjan Plateau,Téléphone,63,6,4,2,Non,"Produit indisponible"
2024-08-18,San-Pédro Port,Commercial,66,6,3,3,Non,"Service rapide"
2024-08-14,Abidjan Yopougon,Téléphone,33,6,3,3,Non,"Conseiller très clair"
2024-01-03,Abidjan Plateau,Téléphone,4,7,3,3,Peut-être,"Conseiller très clair"
2024-06-12,San-Pédro Port,Boutique,64,6,4,2,Non,""
2024-06-07,Bouaké Centre,Boutique,37,9,5,5,Oui,""
2024-12-13,Bouaké Centre,Boutique,59,10,4,5,Oui,""
2024-09-28,San-Pédro Port,Boutique,26,7,4,3,Peut-être,"Service rapide"
2024-01-28,Bouaké Centre,Site web,57,9,5,5,Oui,""
2024-02-03,Abidjan Plateau,Commercial,29,9,5,4,Oui,"Conseiller très clair"
2024-12-22,Bouaké Centre,Boutique,36,7,4,4,Peut-être,""
2024-01-31,Abidjan Yopougon,Site web,48,4,3,3,Non,"Prix corrects"
2024-06-25,Abidjan Yopougon,Boutique,40,3,1,1,Non,"Attente trop longue"
2024-06-29,San-Pédro Port,Boutique,1,8,3,4,Peut-être,""
2024-08-20,San-Pédro Port,Téléphone,2,7,3,4,Peut-être,"Prix corrects"
2024-07-26,Abidjan Plateau,Boutique,66,6,2,3,Non,"Rien à signaler"
2024-01-09,San-Pédro Port,Site web,30,7,3,4,Peut-être,"Service rapide"
2024-05-23,Bouaké Centre,Commercial,49,5,3,3,Non,""
2024-04-14,San-Pédro Port,Boutique,39,10,4,5,Oui,"Prix corrects"
2024-12-05,Bouaké Centre,Téléphone,50,7,4,4,Peut-être,"Attente trop longue"
2024-10-09,San-Pédro Port,Site web,37,6,3,3,Non,"Rien à signaler"
2024-03-09,Abidjan Yopougon,Téléphone,9,7,3,3,Peut-être,"Conseiller très clair"
2024-01-30,Abidjan Plateau,Téléphone,49,6,2,4,Non,"Attente trop longue"
2024-08-03,Abidjan Yopougon,Site web,2,5,2,3,Non,"Produit indisponible"
2024-03-18,San-Pédro Port,Site web,17,7,4,4,Peut-être,"Service rapide"
2024-09-02,Bouaké Centre,Commercial,15,9,4,5,Oui,"Prix corrects"
2024-01-21,San-Pédro Port,Téléphone,18,9,4,5,Oui,"Prix corrects"
2024-06-06,Bouaké Centre,Site web,10,5,2,3,Non,"Produit indisponible"
2024-11-28,San-Pédro Port,Boutique,53,7,4,3,Peut-être,"Conseiller très clair"
2024-11-30,Bouaké Centre,Boutique,18,7,3,3,Peut-être,""
2024-05-21,Abidjan Plateau,Commercial,22,9,4,4,Oui,"Rien à signaler"
2024-02-09,Abidjan Yopougon,Boutique,58,8,4,4,Peut-être,""
2024-10-16,Abidjan Yopougon,Commercial,66,4,1,2,Non,""
2024-07-30,Abidjan Plateau,Téléphone,40,8,3,4,Peut-être,"Prix corrects"
2024-07-03,San-Pédro Port,Site web,28,9,5,4,Oui,""
2024-01-24,Bouaké Centre,Boutique,46,7,4,4,Peut-être,"Attente trop longue"
2024-06-10,Abidjan Plateau,Site web,21,6,2,3,Non,"Conseiller très clair"
2024-01-17,Abidjan Plateau,Téléphone,5,9,5,5,Oui,"Rien à signaler"
2024-02-04,Abidjan Plateau,Téléphone,5,6,3,3,Non,"Attente trop longue"
2024-10-27,Bouaké Centre,Commercial,9,9,5,5,Oui,""
2024-04-11,San-Pédro Port,Téléphone,48,8,5,4,Peut-être,"Produit indisponible"
2024-03-17,Abidjan Yopougon,Commercial,23,6,4,2,Non,"Produit indisponible"
2024-12-22,San-Pédro Port,Téléphone,33,6,2,3,Non,"Conseiller très clair"
2024-03-15,Abidjan Plateau,Commercial,41,8,4,3,Peut-être,"Service rapide"
2024-08-01,Abidjan Plateau,Téléphone,31,9,4,5,Oui,""
2024-05-29,Abidjan Yopougon,Site web,44,7,3,4,Peut-être,"Service rapide"
2024-12-02,Bouaké Centre,Commercial,25,10,5,5,Oui,"Prix corrects"
2024-05-01,Abidjan Yopougon,Boutique,31,6,3,3,Non,"Conseiller très clair"
2024-02-09,Abidjan Plateau,Boutique,8,5,3,2,Non,"Service rapide"
2024-04-08,Abidjan Yopougon,Boutique,6,7,3,3,Peut-être,"Attente trop longue"
2024-01-20,Abidjan Yopougon,Téléphone,61,6,3,3,Non,"Attente trop longue"
2024-02-10,Abidjan Plateau,Téléphone,62,9,5,5,Oui,""
2024-08-09,Bouaké Centre,Commercial,25,5,2,3,Non,""
2024-03-04,Bouaké Centre,Site web,49,7,4,4,Peut-être,"Rien à signaler"
2024-06-03,Bouaké Centre,Site web,3,7,4,3,Peut-être,"Prix corrects"
2024-12-15,Abidjan Yopougon,Téléphone,26,6,3,2,Non,"Attente trop longue"
2024-02-01,Bouaké Centre,Boutique,65,7,3,3,Peut-être,"Service rapide"
2024-05-28,Abidjan Yopougon,Téléphone,48,4,1,1,Non,"Conseiller très clair"
2024-08-19,Bouaké Centre,Téléphone,29,6,3,4,Non,"Prix corrects"
2024-12-04,Abidjan Plateau,Boutique,21,5,2,3,Non,""
2024-06-09,Abidjan Plateau,Site web,13,9,4,5,Oui,"Produit indisponible"
2024-04-19,San-Pédro Port,Commercial,25,8,4,5,Peut-être,"Attente trop longue"
2024-10-07,Abidjan Plateau,Boutique,60,8,3,3,Peut-être,"Service rapide"
2024-08-13,Abidjan Plateau,Commercial,17,6,3,2,Non,"Rien à signaler"
2024-09-16,San-Pédro Port,Boutique,36,10,5,5,Oui,"Service rapide"
2024-05-02,San-Pédro Port,Site web,45,8,4,3,Peut-être,"Conseiller très clair"
2024-09-06,Abidjan Plateau,Boutique,6,6,3,2,Non,"Conseiller très clair"
2024-06-05,Abidjan Plateau,Téléphone,68,6,3,3,Non,"Attente trop longue"
2024-08-07,Abidjan Yopougon,Site web,63,3,2,2,Non,"Rien à signaler"
2024-08-21,Abidjan Plateau,Commercial,53,8,5,4,Peut-être,"Prix corrects"
2024-11-20,Abidjan Plateau,Boutique,22,6,4,3,Non,""
2024-09-16,San-Pédro Port,Boutique,54,5,2,2,Non,"Service rapide"
2024-11-01,Abidjan Plateau,Téléphone,66,6,2,3,Non,""
2024-10-04,San-Pédro Port,Téléphone,18,10,5,5,Oui,""
2024-12-17,Abidjan Plateau,Boutique,6,10,5,5,Oui,""
2024-01-06,Abidjan Plateau,Site web,24,6,3,2,Non,""
2024-06-20,Bouaké Centre,Commercial,37,9,5,5,Oui,""
2024-09-11,Abidjan Plateau,Site web,56,6,4,3,Non,"Rien à signaler"
2024-01-07,Abidjan Yopougon,Boutique,4,6,3,2,Non,"Prix corrects"
2024-11-06,Bouaké Centre,Téléphone,24,8,3,4,Peut-être,""
2024-12-05,Abidjan Yopougon,Boutique,39,5,2,3,Non,"Conseiller très clair"
2024-07-02,Bouaké Centre,Téléphone,33,7,3,3,Peut-être,""
2024-03-01,San-Pédro Port,Téléphone,18,7,3,4,Peut-être,""
2024-02-11,Abidjan Plateau,Boutique,19,8,4,4,Peut-être,"Attente trop longue"
2024-01-05,San-Pédro Port,Boutique,35,5,3,3,Non,"Produit indisponible"
2024-02-18,Abidjan Yopougon,Boutique,67,7,4,3,Peut-être,""
2024-04-18,San-Pédro Port,Commercial,46,6,2,4,Non,"Attente trop longue"
2024-09-26,San-Pédro Port,Téléphone,39,5,3,3,Non,"Service rapide"
2024-04-25,San-Pédro Port,Téléphone,48,5,2,2,Non,"Produit indisponible"
2024-03-01,Bouaké Centre,Boutique,6,5,3,3,Non,"Attente trop longue"
2024-08-07,Bouaké Centre,Téléphone,46,9,4,4,Oui,""
2024-06-16,Abidjan Yopougon,Boutique,20,5,2,3,Non,""
2024-04-01,San-Pédro Port,Commercial,50,8,3,3,Peut-être,"Conseiller très clair"
2024-04-22,Bouaké Centre,Site web,18,6,4,3,Non,"Prix corrects"
2024-10-13,Abidjan Yopougon,Site web,6,7,4,3,Peut-être,"Produit indisponible"
2024-11-01,San-Pédro Port,Téléphone,14,6,3,3,Non,"Attente trop longue"
2024-12-15,Abidjan Plateau,Commercial,9,7,4,3,Peut-être,"Prix corrects"
2024-08-09,San-Pédro Port,Site web,52,7,3,3,Peut-être,"Service rapide"
2024-02-24,Bouaké Centre,Site web,52,5,2,3,Non,"Produit indisponible"
2024-08-30,San-Pédro Port,Téléphone,25,6,3,3,Non,"Prix corrects"
2024-06-27,San-Pédro Port,Boutique,12,9,4,4,Oui,"Conseiller très clair"
2024-01-17,Bouaké Centre,Téléphone,18,8,4,4,Peut-être,"Prix corrects"
2024-03-21,Bouaké Centre,Boutique,22,9,5,5,Oui,""
2024-12-10,San-Pédro Port,Boutique,68,9,4,4,Oui,""
2024-05-24,Bouaké Centre,Commercial,64,5,2,3,Non,""
2024-06-15,Abidjan Plateau,Site web,37,8,4,4,Peut-être,"Produit indisponible"
2024-07-03,San-Pédro Port,Téléphone,48,6,3,2,Non,""
2024-10-23,San-Pédro Port,Commercial,31,10,5,5,Oui,"Conseiller très clair"
2024-08-20,Abidjan Yopougon,Boutique,29,6,3,3,Non,""
2024-05-05,San-Pédro Port,Boutique,45,7,3,4,Peut-être,"Rien à signaler"
2024-03-06,Abidjan Plateau,Téléphone,30,7,4,4,Peut-être,"Prix corrects"
2024-04-30,Bouaké Centre,Téléphone,36,6,4,4,Non,"Service rapide"
2024-01-05,Abidjan Yopougon,Boutique,31,6,4,3,Non,"Conseiller très clair"
2024-11-21,San-Pédro Port,Boutique,69,10,5,4,Oui,"Service rapide"
2024-09-15,Abidjan Plateau,Boutique,18,8,4,4,Peut-être,"Prix corrects"
2024-09-03,Abidjan Yopougon,Téléphone,53,3,1,1,Non,"Service rapide"
2024-10-07,San-Pédro Port,Téléphone,70,6,4,2,Non,"Prix corrects"
2024-08-11,Abidjan Yopougon,Boutique,70,3,2,1,Non,"Attente trop longue"
2024-06-19,San-Pédro Port,Boutique,37,9,5,5,Oui,"Rien à signaler"
2024-01-31,San-Pédro Port,Boutique,18,9,4,4,Oui,"Rien à signaler"
2024-05-30,Abidjan Plateau,Site web,2,6,3,2,Non,"Prix corrects"
2024-02-01,Abidjan Yopougon,Site web,65,5,2,3,Non,"Service rapide"
2024-02-23,San-Pédro Port,Commercial,62,8,4,3,Peut-être,"Conseiller très clair"
2024-09-23,Bouaké Centre,Téléphone,30,6,4,4,Non,"Produit indisponible"
2024-05-06,Bouaké Centre,Site web,1,6,3,4,Non,"Conseiller très clair"
2024-07-08,Abidjan Plateau,Site web,69,7,4,3,Peut-être,"Service rapide"
2024-08-02,Abidjan Yopougon,Site web,16,5,3,2,Non,"Prix corrects"
2024-04-30,San-Pédro Port,Site web,3,6,3,2,Non,""
2024-04-06,Abidjan Plateau,Commercial,62,8,4,4,Peut-être,""
2024-01-11,San-Pédro Port,Téléphone,55,8,4,5,Peut-être,"Attente trop longue"
2024-05-04,Abidjan Yopougon,Boutique,12,7,4,4,Peut-être,"Service rapide"
2024-08-04,Abidjan Plateau,Téléphone,18,10,5,5,Oui,"Conseiller très clair"
2024-05-28,Bouaké Centre,Site web,2,8,5,3,Peut-être,"Attente trop longue"
2024-08-30,Abidjan Yopougon,Téléphone,57,6,4,4,Non,"Service rapide"
2024-02-28,Abidjan Yopougon,Téléphone,12,7,4,3,Peut-être,"Rien à signaler"
2024-05-05,Bouaké Centre,Téléphone,51,9,4,4,Oui,"Conseiller très clair"
2024-06-22,San-Pédro Port,Commercial,9,9,4,5,Oui,""
2024-01-24,Abidjan Yopougon,Boutique,6,4,3,2,Non,"Conseiller très clair"
2024-12-07,Abidjan Plateau,Commercial,4,6,4,4,Non,""
2024-12-21,Bouaké Centre,Téléphone,72,6,3,3,Non,"Prix corrects"
2024-02-17,Bouaké Centre,Boutique,61,7,4,4,Peut-être,""
2024-07-23,Abidjan Yopougon,Site web,39,4,2,2,Non,"Attente trop longue"
2024-04-25,Bouaké Centre,Boutique,16,6,4,3,Non,"Service rapide"
2024-07-25,Abidjan Plateau,Boutique,23,6,3,3,Non,"Rien à signaler"
2024-02-22,Abidjan Plateau,Téléphone,21,6,2,2,Non,"Service rapide"
2024-08-01,Abidjan Yopougon,Téléphone,59,6,3,4,Non,"Service rapide"
2024-03-16,Bouaké Centre,Commercial,29,5,2,3,Non,""
2024-10-12,Bouaké Centre,Site web,35,8,4,4,Peut-être,"Attente trop longue"
2024-11-06,Abidjan Plateau,Boutique,10,8,3,5,Peut-être,"Produit indisponible"
2024-09-08,San-Pédro Port,Site web,53,6,4,3,Non,"Produit indisponible"
2024-05-17,Bouaké Centre,Boutique,35,5,3,3,Non,"Rien à signaler"
2024-11-08,Abidjan Plateau,Boutique,23,7,4,4,Peut-être,"Attente trop longue"
2024-09-04,Bouaké Centre,Téléphone,32,7,4,4,Peut-être,"Rien à signaler"
2024-02-09,Abidjan Yopougon,Site web,61,7,3,3,Peut-être,"Rien à signaler"
2024-09-19,Bouaké Centre,Téléphone,45,7,4,3,Peut-être,""
2024-12-04,Abidjan Yopougon,Commercial,33,5,2,3,Non,"Rien à signaler"
2024-08-03,Abidjan Plateau,Téléphone,37,7,4,4,Peut-être,"Rien à signaler"
2024-02-13,Abidjan Plateau,Commercial,21,7,4,3,Peut-être,"Rien à signaler"
2024-09-29,Abidjan Yopougon,Téléphone,44,5,2,3,Non,""
2024-04-19,Bouaké Centre,Boutique,4,8,4,4,Peut-être,"Conseiller très clair"
2024-07-02,San-Pédro Port,Boutique,18,9,5,4,Oui,"Produit indisponible"
2024-02-09,Bouaké Centre,Commercial,58,9,5,4,Oui,"Produit indisponible"
2024-10-07,Abidjan Plateau,Commercial,4,10,5,5,Oui,"Attente trop longue"
2024-08-08,Abidjan Plateau,Boutique,52,7,4,4,Peut-être,"Attente trop longue"
2024-07-28,Bouaké Centre,Site web,48,8,4,4,Peut-être,""
2024-01-29,Bouaké Centre,Téléphone,69,7,3,3,Peut-être,""
2024-09-30,Abidjan Yopougon,Boutique,43,5,2,2,Non,""
2024-04-03,San-Pédro Port,Commercial,7,7,3,4,Peut-être,"Prix corrects"
2024-12-10,Abidjan Yopougon,Site web,30,5,3,2,Non,""
2024-05-31,Abidjan Plateau,Boutique,19,7,3,3,Peut-être,"Rien à signaler"
2024-12-05,Abidjan Plateau,Commercial,14,7,4,4,Peut-être,""
2024-06-03,Bouaké Centre,Commercial,56,10,5,5,Oui,"Prix corrects"
2024-07-01,San-Pédro Port,Commercial,27,8,4,4,Peut-être,""
2024-01-16,Abidjan Yopougon,Boutique,16,5,2,3,Non,""
2024-06-09,Abidjan Plateau,Téléphone,35,9,5,5,Oui,"Service rapide"
2024-07-02,Bouaké Centre,Téléphone,59,6,3,3,Non,""
2024-08-19,San-Pédro Port,Site web,58,7,3,4,Peut-être,""
2024-09-27,San-Pédro Port,Site web,52,8,5,4,Peut-être,"Rien à signaler"
2024-12-29,Abidjan Yopougon,Commercial,12,3,2,2,Non,"Attente trop longue"
2024-12-26,Bouaké Centre,Site web,41,8,3,5,Peut-être,"Produit indisponible"
2024-07-07,San-Pédro Port,Site web,4,8,5,4,Peut-être,"Produit indisponible"
2024-09-02,San-Pédro Port,Téléphone,68,8,5,3,Peut-être,"Service rapide"
2024-09-04,Bouaké Centre,Boutique,38,7,3,4,Peut-être,""
2024-07-30,Abidjan Yopougon,Téléphone,42,7,3,3,Peut-être,""
2024-05-18,Bouaké Centre,Boutique,63,7,3,3,Peut-être,""
2024-11-11,Abidjan Plateau,Boutique,66,6,3,3,Non,"Prix corrects"
2024-12-25,Abidjan Yopougon,Boutique,55,8,4,5,Peut-être,"Rien à signaler"
2024-05-03,Abidjan Plateau,Site web,4,9,4,4,Oui,"Rien à signaler"
2024-06-30,Abidjan Plateau,Commercial,40,6,4,3,Non,""
2024-07-30,Abidjan Yopougon,Téléphone,38,6,4,2,Non,""
2024-04-06,San-Pédro Port,Site web,41,5,3,2,Non,"Service rapide"
2024-05-04,Bouaké Centre,Téléphone,63,10,5,5,Oui,""
2024-09-30,San-Pédro Port,Téléphone,52,6,3,3,Non,"Conseiller très clair"
2024-08-03,San-Pédro Port,Site web,1,5,2,2,Non,"Conseiller très clair"
2024-06-04,Abidjan Yopougon,Site web,4,5,3,3,Non,""
2024-04-19,San-Pédro Port,Site web,39,8,4,4,Peut-être,"Attente trop longue"
2024-06-01,Bouaké Centre,Commercial,47,6,3,3,Non,""
2024-12-04,San-Pédro Port,Boutique,34,6,2,3,Non,"Service rapide"
2024-04-10,Abidjan Plateau,Téléphone,22,7,4,3,Peut-être,"Conseiller très clair"
2024-07-02,Bouaké Centre,Téléphone,17,8,5,4,Peut-être,""
2024-11-09,Abidjan Yopougon,Commercial,6,6,4,3,Non,""
2024-11-14,Bouaké Centre,Commercial,28,9,5,4,Oui,""
2024-08-14,San-Pédro Port,Site web,60,8,4,4,Peut-être,""
2024-05-31,San-Pédro Port,Téléphone,26,9,4,4,Oui,""
2024-02-15,Abidjan Plateau,Téléphone,51,5,2,2,Non,"Rien à signaler"
2024-04-11,Bouaké Centre,Boutique,58,7,3,4,Peut-être,"Service rapide"
2024-11-04,Abidjan Yopougon,Boutique,49,6,3,2,Non,"Conseiller très clair"
2024-09-25,San-Pédro Port,Boutique,52,9,4,4,Oui,"Produit indisponible"
2024-11-11,Abidjan Yopougon,Boutique,49,6,4,2,Non,"Service rapide"
2024-02-11,Abidjan Plateau,Site web,57,7,3,4,Peut-être,""
2024-08-18,San-Pédro Port,Téléphone,16,9,5,5,Oui,""
2024-02-25,Abidjan Plateau,Site web,61,5,2,2,Non,""
2024-12-30,Abidjan Plateau,Boutique,12,5,3,2,Non,""
2024-11-14,Abidjan Plateau,Site web,39,5,2,3,Non,"Conseiller très clair"
2024-04-15,San-Pédro Port,Commercial,16,10,5,5,Oui,"Attente trop longue"
2024-05-17,Bouaké Centre,Téléphone,44,6,3,4,Non,"Attente trop longue"
2024-06-19,Abidjan Plateau,Site web,46,10,4,5,Oui,"Produit indisponible"
2024-01-07,San-Pédro Port,Commercial,59,5,2,3,Non,"Prix corrects"
2024-11-04,Abidjan Yopougon,Téléphone,32,4,3,2,Non,""
2024-10-26,Abidjan Plateau,Téléphone,67,6,2,2,Non,"Attente trop longue"
2024-09-16,Bouaké Centre,Boutique,46,9,4,4,Oui,""
2024-04-15,Abidjan Plateau,Commercial,8,6,4,3,Non,"Attente trop longue"
2024-05-08,Abidjan Yopougon,Site web,54,6,2,3,Non,""
2024-05-06,Abidjan Plateau,Boutique,65,8,5,4,Peut-être,"Service rapide"
2024-03-19,Abidjan Yopougon,Boutique,44,5,2,3,Non,"Attente trop longue"
2024-09-12,Abidjan Yopougon,Téléphone,6,6,2,2,Non,"Rien à signaler"
2024-01-20,Bouaké Centre,Commercial,72,9,5,5,Oui,"Attente trop longue"
2024-10-26,Bouaké Centre,Commercial,64,7,4,4,Peut-être,"Conseiller très clair"
2024-11-26,Bouaké Centre,Commercial,70,6,3,2,Non,"Conseiller très clair"
2024-12-17,Bouaké Centre,Téléphone,60,6,3,4,Non,"Conseiller très clair"
2024-08-22,Abidjan Yopougon,Téléphone,32,4,2,2,Non,""
2024-07-14,Abidjan Plateau,Téléphone,10,10,5,5,Oui,"Service rapide"
2024-09-28,San-Pédro Port,Site web,20,9,4,5,Oui,""
2024-02-12,San-Pédro Port,Site web,48,9,4,4,Oui,"Conseiller très clair"
2024-01-15,Bouaké Centre,Commercial,47,8,4,4,Peut-être,"Attente trop longue"
2024-02-16,Abidjan Plateau,Site web,34,7,4,4,Peut-être,"Service rapide"
2024-06-02,Abidjan Yopougon,Commercial,17,7,3,3,Peut-être,"Produit indisponible"
2024-07-07,Bouaké Centre,Boutique,1,5,2,2,Non,"Conseiller très clair"
2024-06-10,San-Pédro Port,Téléphone,64,7,4,4,Peut-être,"Attente trop longue"
2024-09-15,Abidjan Plateau,Site web,55,9,4,5,Oui,"Service rapide"
