reference,designation,famille,depot,stock_actuel,stock_mini,delai_reappro_jours,valeur_unitaire,rotation_mensuelle,statut
REF-1039,Fer à béton modèle 15,Fer à béton,Entrepôt Nord,375,95,2,3230,110,Normal
REF-1040,Plomberie modèle 35,Plomberie,Entrepôt Sud,16,24,14,13127,67,Sous le seuil
REF-1041,Fer à béton modèle 7,Fer à béton,Entrepôt Nord,111,61,19,10163,109,À surveiller
REF-1042,Carrelage modèle 2,Carrelage,Dépôt Bouaké,368,59,8,14725,88,Normal
REF-1043,Fer à béton modèle 25,Fer à béton,Entrepôt Nord,283,70,5,3863,53,Normal
REF-1044,Fer à béton modèle 9,Fer à béton,Dépôt Bouaké,199,26,3,9399,106,Normal
REF-1045,Électricité modèle 24,Électricité,Entrepôt Sud,176,72,29,11948,36,Normal
REF-1046,Carrelage modèle 14,Carrelage,Entrepôt Nord,47,26,15,17398,17,À surveiller
REF-1047,Peinture modèle 36,Peinture,Dépôt Bouaké,371,52,26,4678,2,Normal
REF-1048,Plomberie modèle 10,Plomberie,Dépôt Bouaké,155,72,11,4711,15,Normal
REF-1049,Ciment modèle 8,Ciment,Entrepôt Nord,395,80,15,15287,62,Normal
REF-1050,Plomberie modèle 5,Plomberie,Entrepôt Nord,320,30,25,6359,10,Normal
REF-1051,Fer à béton modèle 9,Fer à béton,Dépôt Bouaké,180,71,9,6356,108,Normal
REF-1052,Peinture modèle 2,Peinture,Entrepôt Sud,293,64,25,9997,114,Normal
REF-1053,Ciment modèle 15,Ciment,Entrepôt Nord,285,44,28,20788,81,Normal
REF-1054,Carrelage modèle 8,Carrelage,Entrepôt Sud,211,77,26,4239,43,Normal
REF-1055,Ciment modèle 16,Ciment,Dépôt Bouaké,381,48,13,12996,18,Normal
REF-1056,Carrelage modèle 20,Carrelage,Entrepôt Sud,239,82,19,3034,90,Normal
REF-1057,Carrelage modèle 9,Carrelage,Dépôt Bouaké,389,34,5,10734,73,Normal
REF-1058,Ciment modèle 31,Ciment,Entrepôt Sud,360,71,16,11399,25,Normal
REF-1059,Carrelage modèle 23,Carrelage,Entrepôt Nord,255,67,3,7941,104,Normal
REF-1060,Fer à béton modèle 18,Fer à béton,Entrepôt Nord,25,99,27,9999,114,Sous le seuil
REF-1061,Peinture modèle 19,Peinture,Entrepôt Sud,32,39,10,20673,118,Sous le seuil
REF-1062,Peinture modèle 29,Peinture,Entrepôt Sud,223,73,14,12230,75,Normal
REF-1063,Plomberie modèle 6,Plomberie,Dépôt Bouaké,176,94,7,20156,76,À surveiller
REF-1064,Électricité modèle 34,Électricité,Entrepôt Nord,272,52,4,11094,83,Normal
REF-1065,Ciment modèle 11,Ciment,Dépôt Bouaké,253,61,19,9480,67,Normal
REF-1066,Fer à béton modèle 37,Fer à béton,Dépôt Bouaké,351,94,28,12004,92,Normal
REF-1067,Ciment modèle 38,Ciment,Entrepôt Sud,118,24,23,7929,111,Normal
REF-1068,Ciment modèle 1,Ciment,Entrepôt Sud,346,34,12,12427,24,Normal
REF-1069,Plomberie modèle 31,Plomberie,Entrepôt Sud,128,30,14,3843,106,Normal
REF-1070,Électricité modèle 31,Électricité,Entrepôt Nord,20,86,18,11875,105,Sous le seuil
REF-1071,Plomberie modèle 31,Plomberie,Entrepôt Nord,189,66,2,14461,21,Normal
REF-1072,Ciment modèle 31,Ciment,Entrepôt Nord,209,84,5,3060,58,Normal
REF-1073,Peinture modèle 37,Peinture,Entrepôt Nord,120,45,26,11928,34,Normal
REF-1074,Fer à béton modèle 17,Fer à béton,Entrepôt Nord,112,66,7,16049,4,À surveiller
REF-1075,Peinture modèle 37,Peinture,Dépôt Bouaké,287,31,26,3040,20,Normal
REF-1076,Peinture modèle 11,Peinture,Dépôt Bouaké,51,72,20,5023,56,Sous le seuil
REF-1077,Fer à béton modèle 33,Fer à béton,Entrepôt Sud,379,96,23,20402,74,Normal
REF-1078,Carrelage modèle 7,Carrelage,Entrepôt Nord,293,83,16,19625,111,Normal
REF-1079,Ciment modèle 28,Ciment,Dépôt Bouaké,203,68,29,9448,95,Normal
REF-1080,Fer à béton modèle 39,Fer à béton,Dépôt Bouaké,364,65,7,3853,1,Normal
REF-1081,Peinture modèle 17,Peinture,Dépôt Bouaké,14,46,17,18447,40,Sous le seuil
REF-1082,Peinture modèle 28,Peinture,Dépôt Bouaké,353,38,22,19781,16,Normal
REF-1083,Peinture modèle 32,Peinture,Entrepôt Nord,109,83,24,19809,24,À surveiller
REF-1084,Plomberie modèle 32,Plomberie,Entrepôt Nord,252,84,14,8494,2,Normal
REF-1085,Plomberie modèle 39,Plomberie,Entrepôt Nord,66,26,3,20509,33,Normal
REF-1086,Carrelage modèle 29,Carrelage,Entrepôt Sud,26,25,12,17071,12,À surveiller
REF-1087,Ciment modèle 24,Ciment,Dépôt Bouaké,99,84,2,13088,103,À surveiller
REF-1088,Plomberie modèle 27,Plomberie,Entrepôt Sud,335,69,16,14641,88,Normal
REF-1089,Électricité modèle 15,Électricité,Entrepôt Nord,120,48,28,17269,67,Normal
REF-1090,Ciment modèle 33,Ciment,Entrepôt Sud,312,91,27,16046,69,Normal
REF-1091,Carrelage modèle 36,Carrelage,Entrepôt Sud,394,63,10,16561,53,Normal
REF-1092,Plomberie modèle 10,Plomberie,Entrepôt Sud,257,96,20,12101,118,Normal
REF-1093,Carrelage modèle 15,Carrelage,Dépôt Bouaké,23,50,10,13385,92,Sous le seuil
REF-1094,Plomberie modèle 39,Plomberie,Dépôt Bouaké,172,80,26,8914,3,Normal
REF-1095,Ciment modèle 1,Ciment,Entrepôt Sud,53,71,16,10803,78,Sous le seuil
REF-1096,Électricité modèle 10,Électricité,Dépôt Bouaké,209,41,13,18324,72,Normal
REF-1097,Plomberie modèle 34,Plomberie,Dépôt Bouaké,164,32,21,14947,36,Normal
REF-1098,Carrelage modèle 25,Carrelage,Entrepôt Sud,43,36,4,4232,120,À surveiller
REF-1099,Peinture modèle 38,Peinture,Entrepôt Nord,163,68,25,11195,62,Normal
REF-1100,Fer à béton modèle 21,Fer à béton,Dépôt Bouaké,218,87,12,19971,115,Normal
REF-1101,Peinture modèle 25,Peinture,Entrepôt Nord,301,84,8,15988,104,Normal
REF-1102,Électricité modèle 4,Électricité,Entrepôt Sud,177,66,16,7260,69,Normal
REF-1103,Ciment modèle 12,Ciment,Entrepôt Sud,314,25,28,12115,30,Normal
REF-1104,Ciment modèle 35,Ciment,Dépôt Bouaké,19,57,28,6651,77,Sous le seuil
REF-1105,Électricité modèle 31,Électricité,Entrepôt Nord,52,77,23,13283,108,Sous le seuil
REF-1106,Peinture modèle 18,Peinture,Dépôt Bouaké,268,53,8,15599,43,Normal
REF-1107,Ciment modèle 28,Ciment,Entrepôt Nord,281,76,24,15094,104,Normal
REF-1108,Carrelage modèle 29,Carrelage,Entrepôt Nord,13,43,3,18616,38,Sous le seuil
REF-1109,Ciment modèle 37,Ciment,Entrepôt Nord,301,26,11,10306,74,Normal
REF-1110,Électricité modèle 34,Électricité,Entrepôt Nord,67,20,27,14143,103,Normal
REF-1111,Peinture modèle 34,Peinture,Entrepôt Sud,106,78,2,3055,114,À surveiller
REF-1112,Carrelage modèle 31,Carrelage,Entrepôt Nord,342,24,10,16857,4,Normal
REF-1113,Peinture modèle 2,Peinture,Dépôt Bouaké,385,92,13,4299,105,Normal
REF-1114,Électricité modèle 2,Électricité,Entrepôt Sud,286,78,15,9966,26,Normal
REF-1115,Fer à béton modèle 6,Fer à béton,Dépôt Bouaké,88,26,3,18601,112,Normal
REF-1116,Peinture modèle 26,Peinture,Entrepôt Sud,97,51,14,19608,8,À surveiller
REF-1117,Ciment modèle 20,Ciment,Entrepôt Sud,248,78,16,15264,72,Normal
REF-1118,Électricité modèle 21,Électricité,Entrepôt Sud,20,85,27,16635,36,Sous le seuil
REF-1119,Carrelage modèle 19,Carrelage,Dépôt Bouaké,309,22,14,13602,43,Normal
REF-1120,Peinture modèle 6,Peinture,Dépôt Bouaké,277,76,14,19693,39,Normal
REF-1121,Ciment modèle 22,Ciment,Dépôt Bouaké,251,83,5,20934,8,Normal
REF-1122,Peinture modèle 10,Peinture,Entrepôt Sud,43,55,26,14676,1,Sous le seuil
REF-1123,Fer à béton modèle 6,Fer à béton,Dépôt Bouaké,39,95,25,9524,27,Sous le seuil
REF-1124,Fer à béton modèle 29,Fer à béton,Entrepôt Sud,65,77,20,19192,13,Sous le seuil
REF-1125,Plomberie modèle 17,Plomberie,Entrepôt Nord,126,21,14,20249,100,Normal
REF-1126,Plomberie modèle 40,Plomberie,Dépôt Bouaké,244,57,26,8304,98,Normal
REF-1127,Électricité modèle 35,Électricité,Entrepôt Nord,11,43,7,9416,9,Sous le seuil
REF-1128,Électricité modèle 12,Électricité,Entrepôt Nord,234,82,7,12154,61,Normal
REF-1129,Fer à béton modèle 39,Fer à béton,Dépôt Bouaké,161,20,22,9873,62,Normal
REF-1130,Ciment modèle 30,Ciment,Entrepôt Sud,124,62,10,12986,23,Normal
REF-1131,Fer à béton modèle 10,Fer à béton,Entrepôt Sud,127,23,26,9372,54,Normal
REF-1132,Ciment modèle 30,Ciment,Entrepôt Nord,391,57,16,14707,36,Normal
REF-1133,Carrelage modèle 29,Carrelage,Entrepôt Sud,7,23,13,14799,96,Sous le seuil
REF-1134,Électricité modèle 15,Électricité,Dépôt Bouaké,115,40,25,5160,46,Normal
REF-1135,Fer à béton modèle 7,Fer à béton,Dépôt Bouaké,344,34,15,10244,65,Normal
REF-1136,Électricité modèle 21,Électricité,Entrepôt Sud,287,24,23,12613,67,Normal
REF-1137,Électricité modèle 23,Électricité,Entrepôt Sud,370,65,19,19890,6,Normal
REF-1138,Plomberie modèle 33,Plomberie,Entrepôt Nord,222,79,19,10697,116,Normal
REF-1139,Peinture modèle 36,Peinture,Entrepôt Nord,36,91,16,19685,109,Sous le seuil
REF-1140,Plomberie modèle 1,Plomberie,Dépôt Bouaké,351,87,13,13903,47,Normal
REF-1141,Électricité modèle 38,Électricité,Entrepôt Sud,23,22,11,19008,4,À surveiller
REF-1142,Électricité modèle 16,Électricité,Entrepôt Nord,105,70,28,16343,6,À surveiller
REF-1143,Plomberie modèle 27,Plomberie,Entrepôt Sud,385,85,25,16454,7,Normal
REF-1144,Carrelage modèle 23,Carrelage,Entrepôt Nord,201,29,17,15395,37,Normal
REF-1145,Plomberie modèle 22,Plomberie,Entrepôt Nord,71,36,11,10204,33,À surveiller
REF-1146,Carrelage modèle 32,Carrelage,Entrepôt Sud,383,78,13,4635,71,Normal
REF-1147,Électricité modèle 27,Électricité,Entrepôt Nord,149,78,23,11726,103,À surveiller
REF-1148,Ciment modèle 17,Ciment,Entrepôt Nord,151,45,22,15855,100,Normal
REF-1149,Carrelage modèle 12,Carrelage,Entrepôt Sud,265,20,8,3739,41,Normal
REF-1150,Plomberie modèle 1,Plomberie,Entrepôt Nord,185,95,17,13254,69,À surveiller
REF-1151,Carrelage modèle 40,Carrelage,Entrepôt Nord,326,40,5,15702,14,Normal
REF-1152,Fer à béton modèle 18,Fer à béton,Entrepôt Nord,239,76,21,12359,52,Normal
REF-1153,Fer à béton modèle 25,Fer à béton,Entrepôt Nord,158,99,17,5193,59,À surveiller
REF-1154,Peinture modèle 9,Peinture,Dépôt Bouaké,241,61,24,18149,5,Normal
REF-1155,Carrelage modèle 39,Carrelage,Entrepôt Nord,376,37,16,15935,43,Normal
REF-1156,Carrelage modèle 21,Carrelage,Dépôt Bouaké,261,42,26,11091,95,Normal
REF-1157,Carrelage modèle 27,Carrelage,Dépôt Bouaké,66,48,8,3860,57,À surveiller
REF-1158,Peinture modèle 22,Peinture,Dépôt Bouaké,130,22,26,12260,20,Normal
REF-1159,Ciment modèle 37,Ciment,Entrepôt Nord,13,75,26,13893,3,Sous le seuil
REF-1160,Électricité modèle 3,Électricité,Dépôt Bouaké,35,72,27,15792,45,Sous le seuil
REF-1161,Électricité modèle 11,Électricité,Entrepôt Nord,48,87,26,4418,18,Sous le seuil
REF-1162,Ciment modèle 31,Ciment,Entrepôt Nord,97,80,23,6455,54,À surveiller
REF-1163,Plomberie modèle 17,Plomberie,Entrepôt Nord,280,82,15,19700,1,Normal
REF-1164,Carrelage modèle 11,Carrelage,Entrepôt Nord,114,67,26,11868,112,À surveiller
REF-1165,Fer à béton modèle 13,Fer à béton,Entrepôt Sud,296,72,24,4800,50,Normal
REF-1166,Ciment modèle 12,Ciment,Entrepôt Nord,207,36,3,11639,119,Normal
REF-1167,Plomberie modèle 17,Plomberie,Entrepôt Nord,102,73,2,12354,40,À surveiller
REF-1168,Fer à béton modèle 30,Fer à béton,Dépôt Bouaké,308,65,18,17320,73,Normal
REF-1169,Plomberie modèle 28,Plomberie,Entrepôt Nord,58,56,27,11921,82,À surveiller
REF-1170,Électricité modèle 2,Électricité,Entrepôt Nord,303,54,2,5605,8,Normal
REF-1171,Électricité modèle 7,Électricité,Entrepôt Nord,200,97,3,11898,60,Normal
REF-1172,Plomberie modèle 1,Plomberie,Dépôt Bouaké,331,46,11,16378,98,Normal
REF-1173,Plomberie modèle 25,Plomberie,Dépôt Bouaké,71,33,2,9207,103,Normal
REF-1174,Électricité modèle 26,Électricité,Dépôt Bouaké,372,51,22,20358,38,Normal
REF-1175,Électricité modèle 32,Électricité,Entrepôt Nord,202,56,11,5238,47,Normal
REF-1176,Carrelage modèle 31,Carrelage,Entrepôt Nord,83,40,16,18997,1,Normal
REF-1177,Électricité modèle 5,Électricité,Entrepôt Sud,223,25,7,7606,55,Normal
REF-1178,Plomberie modèle 37,Plomberie,Entrepôt Nord,328,22,7,14505,45,Normal
REF-1179,Peinture modèle 28,Peinture,Dépôt Bouaké,180,75,19,19206,39,Normal
REF-1180,Fer à béton modèle 25,Fer à béton,Entrepôt Nord,230,76,22,18269,23,Normal
REF-1181,Ciment modèle 36,Ciment,Dépôt Bouaké,244,37,18,10049,77,Normal
REF-1182,Ciment modèle 26,Ciment,Entrepôt Nord,228,30,16,6640,22,Normal
REF-1183,Plomberie modèle 39,Plomberie,Entrepôt Sud,259,90,3,5499,14,Normal
REF-1184,Électricité modèle 25,Électricité,Entrepôt Nord,66,93,18,7201,113,Sous le seuil
REF-1185,Peinture modèle 16,Peinture,Dépôt Bouaké,304,39,18,14849,39,Normal
REF-1186,Ciment modèle 35,Ciment,Dépôt Bouaké,190,92,20,9196,94,Normal
REF-1187,Plomberie modèle 17,Plomberie,Entrepôt Sud,334,60,24,17351,77,Normal
REF-1188,Fer à béton modèle 34,Fer à béton,Dépôt Bouaké,66,69,11,15803,1,Sous le seuil
REF-1189,Carrelage modèle 40,Carrelage,Dépôt Bouaké,355,86,3,7627,83,Normal
REF-1190,Électricité modèle 10,Électricité,Entrepôt Sud,376,68,7,19490,5,Normal
REF-1191,Plomberie modèle 4,Plomberie,Dépôt Bouaké,1,25,24,9594,29,Sous le seuil
REF-1192,Ciment modèle 7,Ciment,Entrepôt Nord,206,56,7,3416,47,Normal
REF-1193,Peinture modèle 37,Peinture,Entrepôt Nord,124,69,17,20778,6,À surveiller
REF-1194,Fer à béton modèle 11,Fer à béton,Entrepôt Nord,226,42,29,5090,113,Normal
REF-1195,Peinture modèle 7,Peinture,Dépôt Bouaké,217,87,9,18296,55,Normal
REF-1196,Fer à béton modèle 27,Fer à béton,Dépôt Bouaké,279,53,25,5894,4,Normal
REF-1197,Ciment modèle 16,Ciment,Entrepôt Nord,248,35,3,7373,86,Normal
REF-1198,Ciment modèle 28,Ciment,Dépôt Bouaké,342,42,11,20975,92,Normal
REF-1199,Électricité modèle 17,Électricité,Dépôt Bouaké,177,42,16,5302,103,Normal
REF-1200,Ciment modèle 30,Ciment,Entrepôt Sud,63,76,11,10899,113,Sous le seuil
REF-1201,Peinture modèle 38,Peinture,Entrepôt Nord,312,29,25,14520,119,Normal
REF-1202,Ciment modèle 11,Ciment,Entrepôt Nord,267,73,17,10864,112,Normal
REF-1203,Ciment modèle 22,Ciment,Dépôt Bouaké,181,41,18,8136,32,Normal
REF-1204,Électricité modèle 5,Électricité,Entrepôt Nord,390,83,4,3014,111,Normal
REF-1205,Carrelage modèle 27,Carrelage,Entrepôt Nord,343,40,11,16472,116,Normal
REF-1206,Fer à béton modèle 15,Fer à béton,Entrepôt Sud,305,80,5,14160,31,Normal
REF-1207,Peinture modèle 28,Peinture,Dépôt Bouaké,68,47,24,6719,93,À surveiller
REF-1208,Carrelage modèle 38,Carrelage,Entrepôt Sud,26,56,9,15717,45,Sous le seuil
REF-1209,Peinture modèle 13,Peinture,Entrepôt Sud,190,60,29,11222,117,Normal
REF-1210,Ciment modèle 37,Ciment,Dépôt Bouaké,273,31,2,7175,73,Normal
REF-1211,Ciment modèle 39,Ciment,Entrepôt Nord,34,95,24,20542,59,Sous le seuil
REF-1212,Ciment modèle 20,Ciment,Dépôt Bouaké,49,81,19,11784,39,Sous le seuil
REF-1213,Carrelage modèle 12,Carrelage,Entrepôt Nord,174,71,5,20121,53,Normal
REF-1214,Électricité modèle 14,Électricité,Entrepôt Sud,212,27,17,12443,10,Normal
REF-1215,Électricité modèle 19,Électricité,Entrepôt Sud,157,20,3,12165,64,Normal
REF-1216,Carrelage modèle 11,Carrelage,Dépôt Bouaké,2,86,11,12180,5,Sous le seuil
REF-1217,Électricité modèle 14,Électricité,Dépôt Bouaké,391,24,9,16403,67,Normal
REF-1218,Fer à béton modèle 28,Fer à béton,Entrepôt Sud,93,33,12,20343,49,Normal
REF-1219,Fer à béton modèle 3,Fer à béton,Dépôt Bouaké,219,36,3,8520,95,Normal
REF-1220,Électricité modèle 28,Électricité,Entrepôt Nord,25,28,6,7389,10,Sous le seuil
REF-1221,Carrelage modèle 30,Carrelage,Dépôt Bouaké,142,53,18,20326,30,Normal
REF-1222,Fer à béton modèle 2,Fer à béton,Dépôt Bouaké,147,75,16,7332,32,À surveiller
REF-1223,Ciment modèle 1,Ciment,Entrepôt Nord,224,59,29,5521,118,Normal
REF-1224,Plomberie modèle 4,Plomberie,Entrepôt Sud,262,61,7,17050,14,Normal
REF-1225,Carrelage modèle 2,Carrelage,Entrepôt Sud,44,34,2,4926,79,À surveiller
REF-1226,Ciment modèle 8,Ciment,Entrepôt Nord,135,87,28,10590,93,À surveiller
REF-1227,Carrelage modèle 15,Carrelage,Dépôt Bouaké,192,23,12,20198,6,Normal
REF-1228,Plomberie modèle 26,Plomberie,Dépôt Bouaké,136,49,6,15212,55,Normal
REF-1229,Électricité modèle 36,Électricité,Entrepôt Nord,191,93,11,13704,10,Normal
REF-1230,Ciment modèle 25,Ciment,Dépôt Bouaké,330,98,17,7366,91,Normal
REF-1231,Plomberie modèle 13,Plomberie,Entrepôt Nord,323,39,29,11648,20,Normal
REF-1232,Peinture modèle 20,Peinture,Entrepôt Sud,372,59,18,11318,72,Normal
REF-1233,Plomberie modèle 39,Plomberie,Entrepôt Sud,122,66,27,6951,5,À surveiller
REF-1234,Plomberie modèle 24,Plomberie,Dépôt Bouaké,240,78,2,7665,22,Normal
REF-1235,Carrelage modèle 23,Carrelage,Dépôt Bouaké,238,78,4,6987,46,Normal
REF-1236,Ciment modèle 13,Ciment,Entrepôt Nord,347,90,16,12705,92,Normal
REF-1237,Peinture modèle 38,Peinture,Entrepôt Sud,222,89,2,8795,40,Normal
REF-1238,Carrelage modèle 12,Carrelage,Entrepôt Sud,285,25,26,14433,37,Normal
REF-1239,Fer à béton modèle 8,Fer à béton,Entrepôt Sud,5,54,2,10888,41,Sous le seuil
REF-1240,Ciment modèle 18,Ciment,Entrepôt Sud,76,80,24,4134,73,Sous le seuil
REF-1241,Ciment modèle 10,Ciment,Entrepôt Sud,331,24,8,19583,83,Normal
REF-1242,Fer à béton modèle 19,Fer à béton,Entrepôt Sud,328,44,9,11269,17,Normal
REF-1243,Électricité modèle 31,Électricité,Entrepôt Sud,331,66,26,12592,41,Normal
REF-1244,Peinture modèle 37,Peinture,Entrepôt Nord,64,98,13,5754,104,Sous le seuil
REF-1245,Électricité modèle 16,Électricité,Entrepôt Sud,363,89,14,8031,42,Normal
REF-1246,Électricité modèle 18,Électricité,Dépôt Bouaké,79,58,27,8861,84,À surveiller
REF-1247,Plomberie modèle 33,Plomberie,Entrepôt Sud,135,90,28,18164,35,À surveiller
REF-1248,Peinture modèle 18,Peinture,Dépôt Bouaké,323,58,5,19656,20,Normal
REF-1249,Carrelage modèle 23,Carrelage,Entrepôt Nord,369,98,4,4719,23,Normal
REF-1250,Ciment modèle 12,Ciment,Dépôt Bouaké,325,42,23,20463,83,Normal
REF-1251,Carrelage modèle 11,Carrelage,Entrepôt Sud,356,60,17,4016,31,Normal
REF-1252,Plomberie modèle 17,Plomberie,Entrepôt Sud,279,64,8,12877,117,Normal
REF-1253,Plomberie modèle 27,Plomberie,Entrepôt Sud,365,52,5,3079,31,Normal
REF-1254,Électricité modèle 32,Électricité,Dépôt Bouaké,86,55,15,12691,108,À surveiller
REF-1255,Carrelage modèle 22,Carrelage,Entrepôt Sud,91,83,6,14466,113,À surveiller
REF-1256,Fer à béton modèle 37,Fer à béton,Dépôt Bouaké,119,33,27,10167,73,Normal
REF-1257,Carrelage modèle 17,Carrelage,Dépôt Bouaké,283,38,22,11669,43,Normal
REF-1258,Carrelage modèle 9,Carrelage,Entrepôt Sud,377,89,10,3414,90,Normal
REF-1259,Carrelage modèle 23,Carrelage,Entrepôt Nord,303,56,29,20722,111,Normal
REF-1260,Plomberie modèle 13,Plomberie,Entrepôt Sud,386,86,26,9671,25,Normal
REF-1261,Ciment modèle 16,Ciment,Entrepôt Nord,355,80,15,6299,43,Normal
REF-1262,Plomberie modèle 21,Plomberie,Dépôt Bouaké,189,79,20,10307,11,Normal
REF-1263,Fer à béton modèle 32,Fer à béton,Entrepôt Nord,107,47,16,9060,41,Normal
REF-1264,Électricité modèle 37,Électricité,Entrepôt Sud,54,88,9,16100,88,Sous le seuil
REF-1265,Fer à béton modèle 36,Fer à béton,Entrepôt Nord,108,30,28,8204,17,Normal
REF-1266,Plomberie modèle 2,Plomberie,Entrepôt Sud,385,68,27,16250,82,Normal
REF-1267,Plomberie modèle 3,Plomberie,Entrepôt Sud,396,24,23,5889,115,Normal
REF-1268,Ciment modèle 30,Ciment,Entrepôt Sud,198,66,2,19224,99,Normal
REF-1269,Peinture modèle 1,Peinture,Entrepôt Nord,372,56,2,10978,34,Normal
REF-1270,Peinture modèle 3,Peinture,Entrepôt Sud,98,21,14,18361,102,Normal
REF-1271,Carrelage modèle 24,Carrelage,Entrepôt Nord,46,89,10,7147,4,Sous le seuil
REF-1272,Fer à béton modèle 31,Fer à béton,Entrepôt Nord,255,71,15,18838,37,Normal
REF-1273,Électricité modèle 22,Électricité,Entrepôt Nord,152,76,28,6602,112,Normal
REF-1274,Fer à béton modèle 31,Fer à béton,Dépôt Bouaké,36,80,19,3146,99,Sous le seuil
REF-1275,Électricité modèle 2,Électricité,Entrepôt Nord,32,95,19,19927,93,Sous le seuil
REF-1276,Électricité modèle 1,Électricité,Entrepôt Nord,235,32,4,4141,28,Normal
REF-1277,Ciment modèle 28,Ciment,Entrepôt Nord,78,95,25,19831,30,Sous le seuil
REF-1278,Ciment modèle 29,Ciment,Dépôt Bouaké,43,37,3,12020,101,À surveiller
REF-1279,Fer à béton modèle 7,Fer à béton,Entrepôt Sud,13,44,21,8286,16,Sous le seuil
REF-1280,Plomberie modèle 34,Plomberie,Entrepôt Sud,357,22,2,6755,34,Normal
REF-1281,Électricité modèle 1,Électricité,Entrepôt Sud,246,39,2,19880,23,Normal
REF-1282,Plomberie modèle 26,Plomberie,Entrepôt Nord,68,97,22,20035,114,Sous le seuil
REF-1283,Plomberie modèle 39,Plomberie,Entrepôt Nord,369,22,29,12320,114,Normal
REF-1284,Fer à béton modèle 20,Fer à béton,Entrepôt Nord,141,49,24,5890,74,Normal
REF-1285,Fer à béton modèle 8,Fer à béton,Entrepôt Nord,137,47,26,20285,53,Normal
