date_vente,region,canal_vente,famille_produit,segment_client,quantite,prix_unitaire,remise_pct,montant_ht
2024-04-16,Abidjan,Grand compte,Électricité,Artisan,16,8455,12,160713
2024-11-17,Abidjan,Direct,Ciment,Particulier,13,6518,6,79650
2024-03-31,Korhogo,Grand compte,Électricité,Particulier,28,9119,13,222139
2024-08-21,San-Pédro,Grand compte,Carrelage,Artisan,12,13557,13,141535
2024-12-30,San-Pédro,Direct,Carrelage,Entreprise,40,12276,1,486130
2024-12-12,San-Pédro,Direct,Plomberie,Artisan,2,7089,4,13611
2024-10-22,Abidjan,Revendeur,Carrelage,Particulier,7,11781,2,80818
2024-02-26,San-Pédro,Direct,Ciment,Artisan,34,6521,5,210628
2024-11-15,Daloa,Direct,Électricité,Artisan,19,8370,4,152669
2024-02-05,Abidjan,Revendeur,Fer à béton,,27,9704,0,262008
2024-08-07,Yamoussoukro,Direct,Ciment,Particulier,3,6707,5,19115
2024-08-28,San-Pédro,Direct,Fer à béton,Artisan,5,7830,0,39150
2024-07-25,Abidjan,Revendeur,Ciment,,7,6178,1,42814
2024-12-29,Korhogo,Direct,Peinture,,8,13194,6,99219
2024-12-19,Yamoussoukro,Grand compte,Carrelage,,27,12412,5,318368
2024-10-16,Abidjan,Revendeur,Électricité,,12,8003,2,94115
2024-07-25,Korhogo,Revendeur,Plomberie,,25,8233,4,197592
2024-06-21,Abidjan,Grand compte,Peinture,Entreprise,6,13549,11,97675
2024-11-25,San-Pédro,Revendeur,Plomberie,Entreprise,36,7507,2,264847
2024-01-01,Bouaké,Revendeur,Peinture,Particulier,38,13639,0,518282
2024-05-24,Abidjan,Direct,Ciment,Artisan,30,5839,1,234115
2024-08-06,Abidjan,Revendeur,Électricité,,30,8551,4,246269
2024-09-10,San-Pédro,Grand compte,Plomberie,Artisan,2,6351,6,11940
2024-04-05,Daloa,Direct,Électricité,,15,9331,1,187063
2024-04-28,Daloa,Grand compte,Carrelage,Particulier,21,11401,4,310290
2024-05-08,Daloa,Direct,Peinture,,2,16362,4,42410
2024-09-24,Yamoussoukro,Direct,Carrelage,Entreprise,6,11746,1,69771
2024-04-06,Daloa,Grand compte,Fer à béton,Artisan,9,8010,11,86616
2024-08-02,Korhogo,Revendeur,Carrelage,Artisan,20,12005,2,235298
2024-01-03,Korhogo,Revendeur,Ciment,Entreprise,20,6161,1,121988
2024-05-02,Yamoussoukro,Grand compte,Électricité,Particulier,19,8399,14,185274
2024-02-11,Abidjan,Grand compte,Carrelage,Particulier,1,10860,10,9774
2024-04-22,Korhogo,Revendeur,Plomberie,Artisan,21,7031,6,187369
2024-10-22,Korhogo,Grand compte,Peinture,Particulier,18,12574,2,221805
2024-01-13,Yamoussoukro,Grand compte,Carrelage,Entreprise,38,12801,12,428065
2024-04-03,Yamoussoukro,Revendeur,Carrelage,Artisan,31,11507,2,471937
2024-07-20,Bouaké,Direct,Ciment,Entreprise,17,6267,1,105474
2024-02-08,Yamoussoukro,Direct,Fer à béton,Entreprise,16,8950,4,137472
2024-05-30,Bouaké,Grand compte,Électricité,,9,9021,6,103029
2024-11-05,San-Pédro,Grand compte,Ciment,Artisan,3,5728,7,15981
2024-08-21,Korhogo,Grand compte,Peinture,Particulier,20,14984,1,296683
2024-03-12,Abidjan,Direct,Plomberie,Entreprise,33,7793,3,249454
2024-03-31,Abidjan,Grand compte,Fer à béton,Entreprise,9,9132,6,77257
2024-08-29,Yamoussoukro,Revendeur,Ciment,Artisan,19,5895,3,108645
2024-07-09,Yamoussoukro,Grand compte,Carrelage,Entreprise,33,11808,2,381871
2024-08-03,Bouaké,Revendeur,Électricité,Particulier,15,9248,4,133171
2024-05-27,San-Pédro,Revendeur,Ciment,,2,7218,5,18514
2024-05-23,Korhogo,Grand compte,Peinture,Entreprise,1,12668,7,15905
2024-11-01,San-Pédro,Grand compte,Électricité,,24,10119,3,235570
2024-12-12,Abidjan,Grand compte,Plomberie,Particulier,35,7925,3,269054
2024-05-18,Korhogo,Revendeur,Peinture,,26,12931,1,449339
2024-08-30,Yamoussoukro,Direct,Plomberie,Entreprise,5,8076,4,38765
2024-02-07,Yamoussoukro,Direct,Électricité,Entreprise,13,7810,1,100515
2024-02-27,Korhogo,Grand compte,Peinture,Particulier,35,14453,12,445152
2024-02-24,Abidjan,Direct,Fer à béton,Artisan,38,10323,1,388351
2024-04-02,Yamoussoukro,Grand compte,Électricité,Particulier,4,8668,11,41658
2024-07-14,Bouaké,Direct,Électricité,,35,9844,5,327313
2024-02-27,Bouaké,Grand compte,Peinture,Artisan,34,15738,9,486934
2024-07-06,Korhogo,Grand compte,Électricité,Particulier,10,7777,3,75437
2024-09-19,Daloa,Revendeur,Ciment,,20,5874,4,112781
2024-07-05,Korhogo,Direct,Peinture,Entreprise,8,12331,5,93716
2024-09-11,Abidjan,Direct,Ciment,Entreprise,7,5609,5,37300
2024-03-22,Daloa,Direct,Plomberie,Entreprise,20,8112,3,157373
2024-04-22,Yamoussoukro,Grand compte,Électricité,Artisan,39,7864,14,356074
2024-08-03,Korhogo,Grand compte,Peinture,Particulier,34,13187,9,408006
2024-03-09,Korhogo,Revendeur,Plomberie,Entreprise,11,6412,3,68416
2024-09-06,Yamoussoukro,Direct,Plomberie,Particulier,22,8496,5,177566
2024-10-30,Yamoussoukro,Revendeur,Fer à béton,Particulier,14,9890,3,134306
2024-03-24,Daloa,Revendeur,Carrelage,Entreprise,19,12590,6,224857
2024-04-12,Korhogo,Direct,Carrelage,Particulier,35,11604,2,537323
2024-03-17,Yamoussoukro,Grand compte,Fer à béton,Entreprise,34,9843,3,324622
2024-04-18,Yamoussoukro,Revendeur,Électricité,Artisan,39,8770,2,452506
2024-05-29,Bouaké,Direct,Électricité,Entreprise,23,7652,3,230467
2024-10-10,Daloa,Grand compte,Peinture,Artisan,19,15719,13,259835
2024-02-06,San-Pédro,Direct,Peinture,Entreprise,36,14309,4,494519
2024-09-26,Abidjan,Direct,Carrelage,,12,11035,2,129772
2024-09-14,San-Pédro,Grand compte,Peinture,Artisan,6,13071,2,76857
2024-05-12,San-Pédro,Direct,Ciment,Artisan,7,7241,1,67743
2024-11-12,Abidjan,Revendeur,Ciment,Artisan,10,6953,6,65358
2024-07-27,Abidjan,Grand compte,Carrelage,,40,11224,7,417533
2024-09-15,Daloa,Grand compte,Ciment,Particulier,31,7107,12,193879
2024-10-11,Yamoussoukro,Grand compte,Carrelage,Particulier,38,11919,13,394042
2024-02-08,Yamoussoukro,Direct,Carrelage,,29,13149,4,366068
2024-04-21,San-Pédro,Revendeur,Plomberie,Particulier,24,7756,2,246269
2024-10-24,Yamoussoukro,Grand compte,Peinture,Particulier,23,12591,15,246154
2024-04-01,Daloa,Revendeur,Ciment,,10,5593,3,73240
2024-12-24,Yamoussoukro,Grand compte,Carrelage,Artisan,9,13078,3,114171
2024-02-17,Abidjan,Grand compte,Électricité,Particulier,3,8852,8,24432
2024-03-18,Yamoussoukro,Revendeur,Ciment,Artisan,27,7314,6,185629
2024-02-02,Yamoussoukro,Direct,Peinture,,22,13745,0,302390
2024-05-29,Daloa,Grand compte,Électricité,Artisan,25,8960,3,293328
2024-05-07,Abidjan,Grand compte,Ciment,Particulier,23,6324,12,172797
2024-09-27,Yamoussoukro,Grand compte,Plomberie,Particulier,17,7409,3,122174
2024-12-30,Bouaké,Grand compte,Ciment,Artisan,18,5648,8,93531
2024-09-30,Bouaké,Direct,Fer à béton,Entreprise,25,8647,3,209690
2024-03-28,Daloa,Revendeur,Fer à béton,Artisan,32,8692,3,269800
2024-04-12,Korhogo,Grand compte,Peinture,Entreprise,28,15855,7,557367
2024-02-16,Bouaké,Revendeur,Carrelage,,9,12860,2,113425
2024-01-19,Korhogo,Revendeur,Plomberie,Entreprise,8,7584,2,59459
2024-06-02,Yamoussoukro,Direct,Électricité,Entreprise,19,8906,3,221586
2024-09-23,Daloa,Direct,Ciment,Artisan,5,6541,2,32051
2024-02-23,Bouaké,Direct,Fer à béton,,30,8559,1,254202
2024-02-08,San-Pédro,Revendeur,Peinture,Entreprise,12,15426,3,179559
2024-04-14,Daloa,Direct,Peinture,Particulier,17,15521,4,341959
2024-01-01,Korhogo,Grand compte,Fer à béton,Entreprise,37,8158,14,259588
2024-10-03,Korhogo,Direct,Électricité,Entreprise,22,8115,4,171389
2024-11-09,Abidjan,Grand compte,Plomberie,Artisan,13,6367,8,76149
2024-09-22,Korhogo,Direct,Peinture,Entreprise,19,16562,0,314678
2024-07-02,Korhogo,Grand compte,Fer à béton,,18,9857,6,166780
2024-10-17,Abidjan,Grand compte,Ciment,Particulier,26,5975,13,135155
2024-12-22,Daloa,Grand compte,Plomberie,Artisan,10,7960,11,70844
2024-06-22,Bouaké,Grand compte,Carrelage,Particulier,23,10203,10,285123
2024-08-16,Bouaké,Direct,Plomberie,,18,7472,1,133151
2024-12-05,Daloa,Direct,Électricité,Particulier,25,8465,2,207393
2024-04-20,Daloa,Grand compte,Électricité,Entreprise,11,7570,7,104545
2024-12-01,Yamoussoukro,Revendeur,Électricité,Particulier,12,8627,1,102489
2024-09-14,San-Pédro,Revendeur,Fer à béton,Artisan,31,7902,5,232714
2024-01-15,Yamoussoukro,Direct,Carrelage,Particulier,39,12741,2,486961
2024-02-16,Bouaké,Grand compte,Plomberie,Particulier,1,8358,5,7940
2024-11-12,Korhogo,Grand compte,Électricité,Particulier,31,9507,3,285875
2024-04-23,Korhogo,Direct,Peinture,Entreprise,25,16438,3,538139
2024-09-30,Abidjan,Direct,Ciment,Particulier,28,6111,4,164264
2024-08-15,Korhogo,Direct,Peinture,Particulier,1,13779,5,13090
2024-09-29,Abidjan,Direct,Carrelage,Particulier,10,11303,5,107379
2024-01-24,Daloa,Grand compte,Carrelage,Entreprise,6,12510,11,66803
2024-10-09,Korhogo,Direct,Ciment,,29,6768,4,188421
2024-08-25,Daloa,Grand compte,Carrelage,,35,13122,14,394972
2024-08-26,Korhogo,Revendeur,Plomberie,Entreprise,34,7627,3,251538
2024-04-16,Abidjan,Grand compte,Peinture,Entreprise,32,13094,0,565661
2024-02-01,Korhogo,Revendeur,Plomberie,,30,7737,2,227468
2024-04-23,San-Pédro,Direct,Plomberie,,33,7624,5,322667
2024-02-18,Korhogo,Grand compte,Carrelage,Particulier,17,10354,13,153136
2024-12-27,Abidjan,Revendeur,Ciment,Entreprise,35,5837,2,200209
2024-01-09,Bouaké,Grand compte,Plomberie,Artisan,38,7287,13,240908
2024-08-13,Bouaké,Revendeur,Plomberie,Particulier,32,6368,3,197663
2024-04-07,San-Pédro,Revendeur,Carrelage,Entreprise,29,11814,1,457893
2024-02-20,Yamoussoukro,Revendeur,Électricité,Artisan,39,8688,1,335444
2024-04-23,Yamoussoukro,Revendeur,Ciment,Artisan,20,6924,1,185079
2024-12-23,Bouaké,Grand compte,Plomberie,Entreprise,12,8169,9,89205
2024-01-26,Abidjan,Revendeur,Carrelage,Entreprise,21,12427,4,250528
2024-02-28,Yamoussoukro,Grand compte,Carrelage,Particulier,23,11119,6,240393
2024-07-02,Yamoussoukro,Direct,Électricité,Artisan,40,9325,5,354350
2024-03-14,Yamoussoukro,Revendeur,Électricité,,37,7642,4,271444
2024-08-24,San-Pédro,Grand compte,Électricité,Particulier,26,9190,7,222214
2024-05-27,Abidjan,Direct,Électricité,,12,8195,2,130104
2024-09-08,Korhogo,Direct,Ciment,,33,6048,4,191601
2024-12-07,San-Pédro,Revendeur,Électricité,Artisan,10,9032,0,90320
2024-05-24,Bouaké,Grand compte,Peinture,Particulier,39,15818,15,707895
2024-09-09,San-Pédro,Direct,Ciment,Particulier,2,7119,3,13811
2024-11-12,Korhogo,Revendeur,Ciment,Entreprise,28,6953,4,186897
2024-09-04,San-Pédro,Revendeur,Ciment,,39,6474,1,249961
2024-05-23,Abidjan,Direct,Ciment,Artisan,6,5975,5,45978
2024-12-30,Yamoussoukro,Revendeur,Plomberie,Entreprise,29,7478,3,210356
2024-09-21,Daloa,Direct,Fer à béton,,24,10189,2,239645
2024-08-02,Bouaké,Revendeur,Ciment,,35,7065,5,234911
2024-11-19,Abidjan,Direct,Carrelage,Particulier,28,11689,3,317473
2024-03-17,Abidjan,Direct,Électricité,Particulier,2,7605,5,14450
2024-10-08,Yamoussoukro,Revendeur,Plomberie,Particulier,18,8094,5,138407
2024-11-17,San-Pédro,Revendeur,Peinture,Particulier,14,14308,4,192300
2024-11-09,Bouaké,Direct,Peinture,Artisan,15,12709,1,188729
2024-11-17,San-Pédro,Revendeur,Plomberie,Artisan,37,8412,1,308132
2024-09-25,Abidjan,Grand compte,Ciment,Entreprise,5,6773,14,29124
2024-06-19,Abidjan,Direct,Ciment,Artisan,22,5797,1,170449
2024-02-05,Yamoussoukro,Direct,Ciment,Particulier,30,6359,2,186955
2024-09-29,San-Pédro,Revendeur,Peinture,Particulier,20,13352,0,267040
2024-08-01,Bouaké,Revendeur,Électricité,,20,8185,4,157152
2024-04-12,Korhogo,Grand compte,Électricité,Artisan,35,9763,1,456689
2024-07-18,Bouaké,Direct,Fer à béton,,15,9781,2,143781
2024-07-11,Yamoussoukro,Revendeur,Carrelage,Entreprise,7,11888,2,81552
2024-06-10,Korhogo,Grand compte,Peinture,,1,16644,3,21795
2024-12-27,Daloa,Direct,Peinture,,32,13725,3,426024
2024-08-02,Yamoussoukro,Revendeur,Carrelage,,37,12271,3,440406
2024-03-29,Yamoussoukro,Direct,Carrelage,Particulier,12,10783,5,122926
2024-07-08,Bouaké,Grand compte,Électricité,,7,8325,9,53030
2024-10-03,San-Pédro,Direct,Carrelage,Entreprise,18,11483,5,196359
2024-12-21,San-Pédro,Grand compte,Fer à béton,Particulier,1,10138,10,9124
2024-04-22,Bouaké,Grand compte,Ciment,,35,6905,4,313211
2024-01-13,Yamoussoukro,Direct,Peinture,,33,14697,3,470451
2024-03-26,Daloa,Revendeur,Ciment,Entreprise,15,7173,2,105443
2024-01-08,Abidjan,Revendeur,Plomberie,Particulier,1,7189,0,7189
2024-03-09,San-Pédro,Revendeur,Carrelage,Entreprise,27,13132,1,351018
2024-05-16,Korhogo,Revendeur,Carrelage,Artisan,1,10385,2,13739
2024-09-12,Yamoussoukro,Grand compte,Électricité,,38,9403,13,310863
2024-02-16,Abidjan,Grand compte,Électricité,Entreprise,11,9822,2,105881
2024-10-27,Abidjan,Revendeur,Fer à béton,Particulier,20,8663,5,164597
2024-09-30,Korhogo,Revendeur,Fer à béton,Entreprise,5,10389,2,50906
2024-07-02,San-Pédro,Revendeur,Électricité,Particulier,39,9980,3,377543
2024-09-16,San-Pédro,Grand compte,Plomberie,Particulier,19,8392,12,140314
2024-06-06,Korhogo,Revendeur,Peinture,Particulier,30,15262,1,611930
2024-08-09,San-Pédro,Grand compte,Peinture,Artisan,22,14271,7,291985
2024-10-27,San-Pédro,Revendeur,Ciment,Artisan,18,7165,5,122522
2024-11-04,Abidjan,Direct,Ciment,Particulier,12,5647,1,67086
2024-06-17,Abidjan,Grand compte,Peinture,Particulier,7,14944,11,125687
2024-02-02,Korhogo,Grand compte,Plomberie,,6,7626,7,42553
2024-08-15,Abidjan,Revendeur,Peinture,Particulier,37,12828,5,450904
2024-08-19,Yamoussoukro,Grand compte,Plomberie,,12,8120,3,94517
2024-01-24,Bouaké,Direct,Plomberie,Particulier,37,8150,4,289488
2024-07-04,Korhogo,Grand compte,Peinture,Particulier,25,15529,2,380461
2024-06-01,Abidjan,Direct,Plomberie,,31,8289,1,343426
2024-06-09,Abidjan,Grand compte,Fer à béton,Particulier,10,9614,14,111619
2024-11-15,Abidjan,Revendeur,Fer à béton,Particulier,25,8290,1,205178
2024-09-20,San-Pédro,Grand compte,Peinture,Artisan,9,15889,10,128701
2024-02-13,Bouaké,Revendeur,Peinture,,7,12706,5,84495
2024-12-28,Korhogo,Direct,Plomberie,Particulier,6,6314,5,35990
2024-01-12,Abidjan,Direct,Fer à béton,Entreprise,7,8108,3,55053
2024-09-15,San-Pédro,Grand compte,Peinture,Artisan,27,15273,10,371134
2024-09-22,San-Pédro,Direct,Fer à béton,,15,9766,5,139166
2024-09-03,Yamoussoukro,Revendeur,Carrelage,Entreprise,29,11636,1,334070
2024-02-27,Abidjan,Grand compte,Carrelage,,18,12309,14,190543
2024-12-25,Abidjan,Direct,Peinture,Particulier,10,14944,4,143462
2024-03-02,Bouaké,Direct,Ciment,,25,5894,4,141456
2024-02-07,Korhogo,Revendeur,Plomberie,Artisan,14,7058,5,93871
2024-06-25,Yamoussoukro,Revendeur,Ciment,Artisan,26,6044,1,210023
2024-12-27,Bouaké,Revendeur,Fer à béton,,14,8245,0,115430
2024-02-11,San-Pédro,Revendeur,Fer à béton,,19,9119,4,166331
2024-08-19,San-Pédro,Grand compte,Fer à béton,,22,10579,14,200155
2024-08-17,Bouaké,Revendeur,Ciment,Entreprise,30,6150,3,178965
2024-04-24,Korhogo,Direct,Fer à béton,Entreprise,9,10004,2,119118
2024-03-29,Abidjan,Grand compte,Peinture,Entreprise,9,14682,4,126852
2024-01-15,Korhogo,Revendeur,Ciment,Artisan,24,7459,4,171855
2024-03-11,Bouaké,Grand compte,Plomberie,,39,7262,3,274721
2024-06-12,Bouaké,Grand compte,Carrelage,,19,12159,1,308760
2024-10-25,Abidjan,Direct,Électricité,Artisan,15,9759,3,141993
2024-11-16,San-Pédro,Revendeur,Peinture,Artisan,14,15061,3,204528
2024-01-01,San-Pédro,Direct,Fer à béton,,2,10394,5,19749
2024-04-16,Bouaké,Direct,Peinture,,40,13368,2,707435
2024-03-15,Korhogo,Revendeur,Fer à béton,,5,8082,4,38794
2024-03-17,Daloa,Revendeur,Peinture,,20,14662,0,293240
2024-10-02,Daloa,Grand compte,Fer à béton,Entreprise,27,10344,15,237395
2024-10-25,Yamoussoukro,Grand compte,Peinture,Entreprise,16,12835,8,188931
2024-12-25,San-Pédro,Revendeur,Carrelage,Entreprise,29,12438,2,353488
2024-11-09,Daloa,Grand compte,Plomberie,Entreprise,17,7019,6,112164
2024-11-23,Abidjan,Revendeur,Électricité,Artisan,29,8386,1,240762
2024-03-27,Korhogo,Grand compte,Ciment,Entreprise,13,5727,7,69239
2024-08-13,Abidjan,Revendeur,Électricité,Entreprise,32,7903,6,237722
2024-02-13,San-Pédro,Grand compte,Électricité,,9,10022,10,81178
2024-10-14,Daloa,Revendeur,Carrelage,Entreprise,36,13564,3,473655
2024-08-13,San-Pédro,Grand compte,Ciment,Artisan,27,6678,15,153260
2024-06-15,Yamoussoukro,Direct,Électricité,Artisan,3,9347,3,36720
2024-11-30,Bouaké,Revendeur,Électricité,Entreprise,30,9316,4,268301
2024-02-16,Korhogo,Grand compte,Peinture,Particulier,15,13350,2,196245
2024-12-10,San-Pédro,Direct,Fer à béton,Particulier,10,8742,1,86546
2024-05-05,Daloa,Revendeur,Électricité,Artisan,7,7600,5,68229
2024-11-21,Daloa,Grand compte,Fer à béton,Artisan,29,8753,5,241145
2024-07-18,Bouaké,Direct,Ciment,Entreprise,12,6401,4,73740
2024-04-13,Abidjan,Direct,Carrelage,Artisan,10,11473,1,153337
2024-08-14,Bouaké,Revendeur,Peinture,Entreprise,38,13018,3,479843
2024-12-11,San-Pédro,Grand compte,Fer à béton,Entreprise,34,8792,5,283982
2024-08-01,Daloa,Direct,Fer à béton,,6,8776,4,50550
2024-06-18,Yamoussoukro,Revendeur,Peinture,,31,14127,3,573479
2024-03-08,Korhogo,Grand compte,Fer à béton,Artisan,12,9631,6,108638
2024-03-04,Abidjan,Direct,Peinture,Artisan,26,13314,4,332317
2024-01-02,San-Pédro,Grand compte,Plomberie,Artisan,10,6438,15,54723
2024-12-27,Bouaké,Direct,Carrelage,,6,12628,2,74253
2024-04-12,Daloa,Revendeur,Électricité,Particulier,2,9417,3,24663
2024-01-04,San-Pédro,Grand compte,Carrelage,Particulier,6,12390,2,72853
2024-09-01,Daloa,Grand compte,Électricité,Entreprise,22,8439,15,157809
2024-11-24,San-Pédro,Direct,Peinture,,31,13907,0,431117
2024-05-26,Yamoussoukro,Direct,Ciment,,15,7383,4,143526
2024-04-02,Daloa,Direct,Ciment,Entreprise,4,5826,2,30831
2024-02-20,Korhogo,Direct,Peinture,Entreprise,27,14358,5,368283
2024-07-14,Bouaké,Revendeur,Fer à béton,,10,7934,1,78547
2024-10-23,San-Pédro,Direct,Plomberie,Entreprise,25,6513,4,156312
2024-06-17,Yamoussoukro,Direct,Électricité,Particulier,14,9666,2,179034
2024-11-24,Yamoussoukro,Direct,Fer à béton,Entreprise,40,9148,2,358602
2024-09-24,Korhogo,Grand compte,Ciment,Particulier,21,7317,1,152120
2024-06-12,Korhogo,Direct,Plomberie,Particulier,20,6979,1,186549
2024-01-25,San-Pédro,Grand compte,Plomberie,Particulier,29,6853,4,190788
2024-10-09,San-Pédro,Direct,Plomberie,Artisan,37,6919,4,245763
2024-11-30,Korhogo,Revendeur,Carrelage,,2,13088,1,25914
2024-04-23,Bouaké,Grand compte,Plomberie,,29,7816,4,293757
2024-03-02,San-Pédro,Direct,Peinture,Artisan,3,12608,1,37446
2024-06-07,Bouaké,Revendeur,Électricité,Entreprise,8,9464,1,101189
2024-12-03,Abidjan,Grand compte,Plomberie,,19,8198,14,133955
2024-10-07,San-Pédro,Grand compte,Ciment,Particulier,27,5642,11,135577
2024-11-09,Abidjan,Grand compte,Plomberie,Particulier,5,6506,13,28301
2024-08-01,San-Pédro,Direct,Plomberie,Entreprise,10,6567,4,63043
2024-05-16,Daloa,Direct,Peinture,Particulier,13,13669,4,230295
2024-12-02,Korhogo,Direct,Peinture,Particulier,33,14781,4,468262
2024-11-21,Daloa,Grand compte,Électricité,,40,8420,12,296384
2024-11-04,Daloa,Direct,Électricité,Artisan,16,7812,1,123742
2024-07-15,Bouaké,Direct,Peinture,Entreprise,28,15445,2,423811
2024-07-09,Yamoussoukro,Grand compte,Plomberie,Entreprise,2,8207,2,16086
2024-05-19,Abidjan,Grand compte,Fer à béton,Artisan,29,9536,4,358401
2024-09-01,Bouaké,Direct,Fer à béton,Entreprise,16,7918,5,120354
2024-11-11,Bouaké,Direct,Carrelage,Artisan,15,12982,2,190835
2024-09-01,Bouaké,Grand compte,Fer à béton,Entreprise,16,9654,5,146741
2024-04-09,Bouaké,Revendeur,Électricité,Artisan,16,9945,1,212664
2024-01-08,Daloa,Revendeur,Ciment,Artisan,23,6804,4,150232
2024-10-26,Abidjan,Revendeur,Plomberie,Artisan,36,8170,4,282355
2024-12-04,Daloa,Direct,Électricité,Particulier,29,9015,3,253592
2024-08-19,Bouaké,Direct,Carrelage,Artisan,16,11015,3,170953
2024-09-13,Daloa,Grand compte,Plomberie,Particulier,7,7134,10,44944
2024-03-28,Yamoussoukro,Direct,Ciment,Particulier,22,6492,0,142824
2024-11-25,Daloa,Revendeur,Fer à béton,Entreprise,23,10313,4,227711
2024-01-15,Yamoussoukro,Revendeur,Plomberie,Entreprise,7,7959,5,52927
2024-05-20,Daloa,Direct,Fer à béton,,39,9698,3,495282
2024-09-22,Daloa,Direct,Électricité,,30,9218,4,265478
2024-05-07,Yamoussoukro,Revendeur,Plomberie,Particulier,15,6444,2,127881
2024-01-26,Daloa,Grand compte,Ciment,Artisan,25,7063,14,151855
2024-05-14,Yamoussoukro,Revendeur,Fer à béton,,16,8656,5,177621
2024-10-17,Korhogo,Grand compte,Plomberie,Artisan,35,8328,2,285650
2024-10-20,Daloa,Grand compte,Peinture,Entreprise,17,13826,14,202136
2024-02-20,Yamoussoukro,Grand compte,Peinture,,39,12781,11,443629
2024-04-30,Abidjan,Grand compte,Fer à béton,Particulier,23,7865,6,229556
2024-03-21,San-Pédro,Direct,Ciment,Entreprise,11,6518,3,69547
2024-10-25,Daloa,Revendeur,Carrelage,,15,11778,2,173137
2024-05-26,San-Pédro,Direct,Électricité,Particulier,34,8860,4,390407
2024-06-17,Bouaké,Revendeur,Plomberie,,6,7956,2,63155
2024-08-14,Yamoussoukro,Direct,Fer à béton,Particulier,37,9614,3,345046
2024-06-24,Abidjan,Grand compte,Ciment,Particulier,14,5870,7,103177
2024-04-16,Bouaké,Revendeur,Carrelage,Entreprise,8,12254,3,128373
2024-01-18,Abidjan,Grand compte,Ciment,Entreprise,15,7149,4,102946
2024-10-14,Bouaké,Direct,Plomberie,Artisan,15,7697,5,109682
2024-12-27,Yamoussoukro,Grand compte,Fer à béton,,9,10442,1,93038
2024-03-24,Korhogo,Revendeur,Ciment,Particulier,2,5767,3,11188
2024-06-15,Bouaké,Revendeur,Électricité,Entreprise,28,8205,1,307048
2024-11-06,Bouaké,Revendeur,Peinture,,14,16656,4,223857
