Rapport mensuel des commandes;;;;;
Service commercial - export du 12/08/2026;;;;;
;;;;;
Date commande ;Client ;Région ; Montant HT ;Remise ;Statut 
17/09/2024;GROUPE IVOSOL;;123 851 F;5%;Annulée
14/11/2024;SARL BATIMAT;Abidjan ;595 929 F;14%;Annulée
27/08/2024;SCI LES PALMES;;253 247 F;17%;En cours
19/01/2024;SCI LES PALMES;;790 808 F;9%;En cours
13/03/2024;GROUPE IVOSOL;;684 812 F;11%;Livrée
23/02/2024;ETS KOUASSI;;904 102 F;14%;Livrée
23/06/2024;GROUPE IVOSOL;;560 660 F;18%;En cours
22/07/2024;GROUPE IVOSOL;;572 766 F;12%;Annulée
20/09/2024;SARL BATIMAT;Bouaké;420 180 F;20%;Livrée
06/08/2024;SCI LES PALMES;;139 526 F;16%;Livrée
07/03/2024;ENTREPRISE DIALLO;;118 060 F;19%;Annulée
19/05/2024;GROUPE IVOSOL;;597 678 F;16%;Annulée
15/12/2024;ENTREPRISE DIALLO;;787 178 F;9%;En cours
09/12/2024;ENTREPRISE DIALLO;Abidjan;98 687 F;12%;Livrée
07/11/2024;GROUPE IVOSOL;Bouaké;240 410 F;7%;Annulée
16/04/2024;GROUPE IVOSOL;;598 460 F;9%;Annulée
22/06/2024;SARL BATIMAT;;478 485 F;5%;Annulée
14/06/2024;SCI LES PALMES;Bouaké;829 047 F;9%;En cours
10/08/2024;SARL BATIMAT;;516 255 F;13%;Livrée
20/06/2024;ENTREPRISE DIALLO;;744 984 F;6%;Livrée
23/06/2024;ENTREPRISE DIALLO;;284 454 F;16%;Annulée
28/05/2024;SCI LES PALMES;;657 519 F;4%;En cours
06/03/2024;SARL BATIMAT;Abidjan ;751 464 F;19%;En cours
16/11/2024;ENTREPRISE DIALLO;;891 503 F;3%;Livrée
22/01/2024;SCI LES PALMES;;645 556 F;18%;Annulée
;;;;;
27/04/2024;SARL BATIMAT;;460 256 F;19%;En cours
16/06/2024;SARL BATIMAT;;498 440 F;12%;Annulée
17/03/2024;ETS KOUASSI;;398 346 F;0%;Annulée
26/04/2024;ETS KOUASSI;Abidjan;929 836 F;3%;Livrée
20/05/2024;SARL BATIMAT;;224 026 F;10%;Livrée
19/03/2024;ETS KOUASSI;;420 673 F;8%;Livrée
14/05/2024;SCI LES PALMES;Bouaké;466 059 F;7%;En cours
09/09/2024;ENTREPRISE DIALLO;San-Pédro;354 579 F;6%;Annulée
28/02/2024;SCI LES PALMES;;682 573 F;6%;Annulée
04/04/2024;ENTREPRISE DIALLO;;89 581 F;8%;Annulée
15/06/2024;SCI LES PALMES;Abidjan ;642 910 F;7%;En cours
14/04/2024;SARL BATIMAT;;570 359 F;6%;Livrée
10/02/2024;SARL BATIMAT;;564 455 F;3%;Annulée
19/11/2024;SARL BATIMAT;Abidjan ;790 502 F;8%;Annulée
07/03/2024;GROUPE IVOSOL;;845 218 F;14%;Livrée
19/02/2024;ETS KOUASSI;Abidjan;180 348 F;18%;Livrée
15/03/2024;SCI LES PALMES;;252 276 F;16%;En cours
22/01/2024;GROUPE IVOSOL;;414 053 F;11%;Annulée
03/10/2024;ENTREPRISE DIALLO;;254 096 F;11%;En cours
13/09/2024;SARL BATIMAT;;213 312 F;8%;Annulée
17/04/2024;SARL BATIMAT;Abidjan ;789 403 F;8%;Annulée
14/11/2024;ETS KOUASSI;;131 063 F;5%;Livrée
07/08/2024;SARL BATIMAT;Bouaké;404 365 F;17%;Livrée
28/08/2024;ENTREPRISE DIALLO;;430 066 F;8%;Livrée
19/01/2024;SARL BATIMAT;;508 584 F;18%;Livrée
26/01/2024;SCI LES PALMES;;552 452 F;15%;Annulée
27/03/2024;ETS KOUASSI;;224 041 F;8%;Livrée
05/04/2024;ETS KOUASSI;San-Pédro;911 499 F;1%;En cours
10/06/2024;SCI LES PALMES;;182 643 F;10%;Livrée
03/12/2024;GROUPE IVOSOL;San-Pédro;661 313 F;5%;Livrée
07/05/2024;SCI LES PALMES;San-Pédro;363 312 F;17%;Annulée
19/07/2024;ENTREPRISE DIALLO;Abidjan;274 845 F;14%;En cours
03/06/2024;ETS KOUASSI;Bouaké;421 650 F;5%;Livrée
09/12/2024;GROUPE IVOSOL;Bouaké;159 357 F;13%;Livrée
15/10/2024;SARL BATIMAT;San-Pédro;591 421 F;15%;Annulée
18/05/2024;GROUPE IVOSOL;Bouaké;510 059 F;19%;Livrée
10/11/2024;SARL BATIMAT;;241 983 F;4%;Annulée
11/12/2024;SARL BATIMAT;;124 552 F;18%;Livrée
01/10/2024;ETS KOUASSI;Abidjan;173 689 F;9%;Annulée
23/01/2024;SARL BATIMAT;Abidjan;358 818 F;1%;Livrée
02/06/2024;ENTREPRISE DIALLO;Bouaké;213 309 F;18%;Livrée
26/08/2024;SCI LES PALMES;San-Pédro;445 036 F;6%;En cours
18/12/2024;SARL BATIMAT;Abidjan ;409 442 F;1%;En cours
13/07/2024;GROUPE IVOSOL;;119 043 F;6%;Livrée
12/04/2024;GROUPE IVOSOL;;790 334 F;18%;Annulée
09/07/2024;ENTREPRISE DIALLO;;871 683 F;18%;Livrée
14/09/2024;GROUPE IVOSOL;San-Pédro;787 416 F;5%;En cours
;;;;;
01/05/2024;ETS KOUASSI;;828 617 F;10%;En cours
08/12/2024;ETS KOUASSI;;463 372 F;15%;Livrée
;;;;;
11/08/2024;ENTREPRISE DIALLO;San-Pédro;754 784 F;7%;En cours
22/12/2024;SCI LES PALMES;;240 603 F;17%;Annulée
27/12/2024;GROUPE IVOSOL;;413 269 F;10%;Livrée
26/07/2024;ENTREPRISE DIALLO;;875 760 F;4%;En cours
27/05/2024;SCI LES PALMES;Bouaké;226 614 F;12%;Annulée
05/05/2024;GROUPE IVOSOL;Abidjan;364 615 F;18%;Livrée
06/12/2024;ENTREPRISE DIALLO;Abidjan ;83 294 F;6%;Annulée
;;;;;
18/03/2024;ETS KOUASSI;San-Pédro;175 723 F;13%;En cours
01/08/2024;SARL BATIMAT;Abidjan;782 310 F;6%;En cours
17/11/2024;SARL BATIMAT;Abidjan;395 184 F;13%;Annulée
27/11/2024;SCI LES PALMES;;61 844 F;13%;En cours
27/06/2024;GROUPE IVOSOL;Abidjan ;608 457 F;12%;Annulée
14/07/2024;ETS KOUASSI;;297 489 F;19%;Annulée
05/09/2024;ENTREPRISE DIALLO;Abidjan;668 476 F;11%;Livrée
01/08/2024;ENTREPRISE DIALLO;;52 583 F;2%;Annulée
11/01/2024;GROUPE IVOSOL;;84 566 F;9%;Livrée
;;;;;
05/09/2024;GROUPE IVOSOL;;895 953 F;4%;Annulée
13/12/2024;ETS KOUASSI;;559 186 F;8%;En cours
11/10/2024;ETS KOUASSI;Abidjan;520 933 F;17%;En cours
02/03/2024;SCI LES PALMES;Abidjan;257 075 F;10%;En cours
10/05/2024;ENTREPRISE DIALLO;Bouaké;264 511 F;6%;Annulée
09/12/2024;SCI LES PALMES;Abidjan ;76 837 F;4%;Annulée
25/10/2024;ETS KOUASSI;San-Pédro;790 008 F;15%;Livrée
06/12/2024;ETS KOUASSI;Bouaké;847 385 F;6%;Annulée
04/06/2024;GROUPE IVOSOL;;481 767 F;12%;Livrée
15/01/2024;ENTREPRISE DIALLO;Abidjan ;876 092 F;7%;En cours
15/03/2024;GROUPE IVOSOL;;406 519 F;17%;Livrée
18/10/2024;SARL BATIMAT;;102 258 F;8%;En cours
21/10/2024;ENTREPRISE DIALLO;;85 994 F;3%;Annulée
24/09/2024;SCI LES PALMES;Abidjan ;747 911 F;9%;Annulée
19/03/2024;GROUPE IVOSOL;Abidjan ;213 498 F;6%;Livrée
22/08/2024;SARL BATIMAT;;689 765 F;19%;Annulée
12/03/2024;ENTREPRISE DIALLO;;878 065 F;17%;En cours
20/12/2024;GROUPE IVOSOL;San-Pédro;199 022 F;12%;En cours
03/06/2024;SARL BATIMAT;;75 579 F;5%;Annulée
03/07/2024;GROUPE IVOSOL;Abidjan;706 753 F;15%;En cours
13/11/2024;ENTREPRISE DIALLO;;136 577 F;13%;Livrée
23/03/2024;ENTREPRISE DIALLO;Abidjan ;162 032 F;5%;En cours
10/02/2024;ETS KOUASSI;;256 501 F;6%;Livrée
15/11/2024;ETS KOUASSI;;643 522 F;13%;Annulée
;;;;;
02/09/2024;SCI LES PALMES;Bouaké;246 136 F;4%;Livrée
04/04/2024;SCI LES PALMES;;607 527 F;5%;Annulée
20/10/2024;GROUPE IVOSOL;;393 203 F;13%;En cours
02/07/2024;GROUPE IVOSOL;;296 561 F;13%;Annulée
27/03/2024;GROUPE IVOSOL;;917 563 F;5%;Livrée
18/02/2024;ETS KOUASSI;;211 756 F;9%;Livrée
27/04/2024;ENTREPRISE DIALLO;;606 276 F;20%;Livrée
03/03/2024;ENTREPRISE DIALLO;;197 771 F;2%;Annulée
;;;;;
25/03/2024;GROUPE IVOSOL;San-Pédro;653 403 F;10%;En cours
17/01/2024;GROUPE IVOSOL;;877 924 F;16%;Annulée
16/06/2024;SCI LES PALMES;Abidjan ;315 535 F;7%;Livrée
07/10/2024;GROUPE IVOSOL;San-Pédro;345 193 F;19%;En cours
05/07/2024;ETS KOUASSI;;506 747 F;7%;Livrée
02/12/2024;GROUPE IVOSOL;Abidjan ;285 254 F;2%;Annulée
20/09/2024;ETS KOUASSI;;141 956 F;18%;Annulée
01/05/2024;SARL BATIMAT;;580 122 F;15%;En cours
;;;;;
27/03/2024;ENTREPRISE DIALLO;;699 803 F;18%;Annulée
22/02/2024;SCI LES PALMES;;381 721 F;2%;En cours
12/06/2024;ENTREPRISE DIALLO;Abidjan ;940 581 F;0%;Livrée
01/07/2024;ENTREPRISE DIALLO;;664 324 F;16%;Livrée
07/10/2024;GROUPE IVOSOL;Abidjan;307 410 F;5%;Livrée
14/07/2024;ETS KOUASSI;San-Pédro;175 956 F;5%;Annulée
26/08/2024;ETS KOUASSI;;920 165 F;8%;En cours
27/03/2024;SARL BATIMAT;San-Pédro;494 562 F;9%;Annulée
05/02/2024;SCI LES PALMES;Bouaké;59 226 F;17%;Livrée
08/07/2024;ENTREPRISE DIALLO;;407 348 F;17%;Livrée
28/07/2024;GROUPE IVOSOL;Abidjan ;477 574 F;11%;Livrée
10/03/2024;ETS KOUASSI;;61 577 F;3%;En cours
27/01/2024;SARL BATIMAT;;590 787 F;11%;Livrée
11/06/2024;SARL BATIMAT;Abidjan;499 632 F;17%;Livrée
25/12/2024;ETS KOUASSI;;483 116 F;20%;Annulée
15/08/2024;GROUPE IVOSOL;San-Pédro;729 341 F;3%;Annulée
05/08/2024;SARL BATIMAT;;673 668 F;12%;Livrée
15/08/2024;SCI LES PALMES;;563 706 F;10%;En cours
04/06/2024;GROUPE IVOSOL;Abidjan ;305 262 F;15%;Livrée
26/04/2024;GROUPE IVOSOL;;800 391 F;19%;Livrée
01/12/2024;ENTREPRISE DIALLO;Abidjan ;535 227 F;13%;Livrée
20/07/2024;ENTREPRISE DIALLO;Bouaké;860 317 F;4%;Livrée
11/06/2024;SCI LES PALMES;;882 005 F;9%;En cours
27/07/2024;GROUPE IVOSOL;;309 961 F;1%;Annulée
15/07/2024;SCI LES PALMES;;81 715 F;16%;Annulée
;;;;;
01/10/2024;SCI LES PALMES;;675 027 F;16%;En cours
16/10/2024;GROUPE IVOSOL;;719 160 F;17%;En cours
09/03/2024;ETS KOUASSI;;576 568 F;14%;Livrée
22/05/2024;SCI LES PALMES;Abidjan ;835 356 F;16%;Livrée
24/11/2024;GROUPE IVOSOL;;496 751 F;10%;Livrée
12/10/2024;ENTREPRISE DIALLO;Abidjan;105 022 F;19%;Livrée
03/12/2024;ENTREPRISE DIALLO;Abidjan;678 080 F;6%;Livrée
24/07/2024;ENTREPRISE DIALLO;Bouaké;753 778 F;12%;Livrée
04/11/2024;SARL BATIMAT;Abidjan ;342 863 F;11%;Livrée
12/02/2024;ETS KOUASSI;;736 792 F;2%;Annulée
08/02/2024;ETS KOUASSI;;452 547 F;7%;Annulée
19/06/2024;SCI LES PALMES;;154 822 F;8%;En cours
04/12/2024;GROUPE IVOSOL;Bouaké;415 639 F;1%;En cours
27/03/2024;SARL BATIMAT;Abidjan ;657 700 F;3%;En cours
17/12/2024;GROUPE IVOSOL;;407 183 F;14%;Annulée
25/10/2024;SCI LES PALMES;San-Pédro;804 016 F;9%;Livrée
13/03/2024;ETS KOUASSI;;366 862 F;10%;Annulée
19/09/2024;SARL BATIMAT;;165 413 F;7%;En cours
;;;;;
08/05/2024;GROUPE IVOSOL;;524 288 F;2%;Annulée
27/10/2024;SARL BATIMAT;San-Pédro;250 323 F;16%;Livrée
27/11/2024;ENTREPRISE DIALLO;Bouaké;351 761 F;13%;Livrée
06/05/2024;SCI LES PALMES;San-Pédro;103 449 F;19%;En cours
13/01/2024;SARL BATIMAT;;535 824 F;7%;Annulée
19/11/2024;GROUPE IVOSOL;;566 487 F;11%;Livrée
24/01/2024;SCI LES PALMES;;559 020 F;14%;En cours
06/06/2024;SARL BATIMAT;;652 846 F;12%;Livrée
16/05/2024;GROUPE IVOSOL;;247 699 F;10%;En cours
03/01/2024;ENTREPRISE DIALLO;;864 587 F;4%;En cours
27/03/2024;ETS KOUASSI;;590 863 F;12%;Annulée
21/12/2024;ENTREPRISE DIALLO;;72 419 F;1%;En cours
21/05/2024;SARL BATIMAT;Bouaké;150 389 F;13%;Annulée
27/07/2024;ETS KOUASSI;;341 749 F;13%;Annulée
17/03/2024;ENTREPRISE DIALLO;Abidjan;873 986 F;11%;Annulée
23/10/2024;GROUPE IVOSOL;Abidjan;720 073 F;17%;Annulée
24/09/2024;GROUPE IVOSOL;;480 630 F;12%;En cours
06/10/2024;SARL BATIMAT;San-Pédro;149 141 F;12%;Livrée
19/07/2024;SARL BATIMAT;;238 555 F;0%;Annulée
;;;;;
22/01/2024;GROUPE IVOSOL;;759 252 F;15%;Livrée
06/06/2024;ENTREPRISE DIALLO;;893 249 F;4%;En cours
26/11/2024;GROUPE IVOSOL;;577 917 F;4%;Livrée
04/12/2024;ENTREPRISE DIALLO;;337 267 F;12%;En cours
10/07/2024;ENTREPRISE DIALLO;;927 134 F;2%;Livrée
13/10/2024;ENTREPRISE DIALLO;;65 433 F;8%;En cours
09/03/2024;GROUPE IVOSOL;Abidjan;304 189 F;14%;Annulée
17/12/2024;ETS KOUASSI;Abidjan;712 892 F;4%;Livrée
01/05/2024;SCI LES PALMES;;389 533 F;3%;Livrée
22/11/2024;SARL BATIMAT;;582 939 F;8%;Livrée
01/04/2024;GROUPE IVOSOL;Abidjan ;690 989 F;3%;Livrée
12/09/2024;ETS KOUASSI;San-Pédro;104 403 F;10%;En cours
21/11/2024;GROUPE IVOSOL;Bouaké;348 516 F;18%;Annulée
;;;;;
21/04/2024;SARL BATIMAT;;332 549 F;2%;En cours
03/09/2024;SCI LES PALMES;;711 010 F;18%;En cours
05/05/2024;SCI LES PALMES;San-Pédro;620 579 F;4%;Livrée
01/04/2024;ETS KOUASSI;Abidjan ;543 896 F;14%;Annulée
14/11/2024;ENTREPRISE DIALLO;Abidjan;773 783 F;7%;Annulée
08/11/2024;GROUPE IVOSOL;;736 001 F;17%;En cours
18/04/2024;SCI LES PALMES;Bouaké;561 086 F;8%;Livrée
17/01/2024;SARL BATIMAT;;326 970 F;1%;En cours
;;;;;
17/07/2024;GROUPE IVOSOL;;801 910 F;14%;Annulée
23/07/2024;SCI LES PALMES;;825 027 F;18%;Annulée
02/10/2024;SCI LES PALMES;;812 302 F;2%;Annulée
27/03/2024;SARL BATIMAT;;668 370 F;7%;Livrée
08/07/2024;SARL BATIMAT;San-Pédro;493 830 F;6%;En cours
12/04/2024;SARL BATIMAT;Abidjan ;665 485 F;8%;Annulée
24/09/2024;SARL BATIMAT;;104 135 F;4%;Livrée
05/01/2024;SCI LES PALMES;San-Pédro;293 093 F;4%;En cours
13/11/2024;SARL BATIMAT;;934 867 F;0%;Annulée
01/09/2024;GROUPE IVOSOL;Bouaké;724 524 F;2%;En cours
18/11/2024;SARL BATIMAT;;184 626 F;10%;En cours
05/08/2024;ENTREPRISE DIALLO;Abidjan ;626 625 F;14%;Livrée
23/11/2024;SARL BATIMAT;;548 770 F;17%;En cours
12/01/2024;SCI LES PALMES;Abidjan;68 589 F;18%;En cours
21/02/2024;GROUPE IVOSOL;San-Pédro;834 961 F;20%;Livrée
20/02/2024;ENTREPRISE DIALLO;;700 607 F;14%;En cours
09/09/2024;ETS KOUASSI;Abidjan ;185 103 F;10%;Annulée
;;;;;
19/03/2024;SARL BATIMAT;Abidjan ;95 042 F;17%;En cours
19/09/2024;SCI LES PALMES;;679 411 F;10%;Livrée
02/08/2024;GROUPE IVOSOL;;710 202 F;2%;En cours
23/07/2024;SCI LES PALMES;;892 105 F;9%;Livrée
17/11/2024;SCI LES PALMES;Bouaké;483 141 F;3%;Annulée
14/10/2024;ETS KOUASSI;;245 858 F;11%;Livrée
15/03/2024;SCI LES PALMES;;224 129 F;13%;Livrée
18/05/2024;SCI LES PALMES;;194 872 F;15%;En cours
17/01/2024;ENTREPRISE DIALLO;Bouaké;623 606 F;1%;En cours
08/06/2024;SCI LES PALMES;;96 730 F;8%;Livrée
27/11/2024;ENTREPRISE DIALLO;;221 082 F;2%;Annulée
01/08/2024;GROUPE IVOSOL;;273 786 F;4%;Annulée
24/09/2024;ETS KOUASSI;San-Pédro;592 403 F;10%;Annulée
22/09/2024;SCI LES PALMES;;389 980 F;6%;En cours
17/02/2024;SARL BATIMAT;San-Pédro;184 833 F;3%;Livrée
13/08/2024;SCI LES PALMES;Abidjan ;530 421 F;13%;Livrée
16/11/2024;GROUPE IVOSOL;;251 896 F;6%;Annulée
23/05/2024;ENTREPRISE DIALLO;;910 787 F;16%;Annulée
07/04/2024;SARL BATIMAT;;809 050 F;11%;En cours
17/03/2024;GROUPE IVOSOL;;566 789 F;18%;En cours
21/12/2024;ENTREPRISE DIALLO;;696 504 F;20%;En cours
06/03/2024;SARL BATIMAT;Abidjan;146 683 F;20%;Livrée
06/06/2024;SCI LES PALMES;;651 487 F;7%;En cours
18/06/2024;GROUPE IVOSOL;;589 344 F;11%;Annulée
26/05/2024;SCI LES PALMES;Bouaké;333 023 F;10%;Annulée
27/10/2024;ETS KOUASSI;Bouaké;302 050 F;6%;En cours
15/12/2024;SARL BATIMAT;San-Pédro;155 708 F;3%;En cours
27/02/2024;GROUPE IVOSOL;;309 178 F;17%;Annulée
07/10/2024;GROUPE IVOSOL;;461 681 F;11%;Annulée
26/01/2024;SARL BATIMAT;;536 666 F;13%;Annulée
13/07/2024;GROUPE IVOSOL;;239 677 F;14%;Livrée
14/02/2024;ENTREPRISE DIALLO;;138 171 F;9%;Livrée
15/06/2024;SARL BATIMAT;;284 717 F;17%;Livrée
;;;;;
07/08/2024;ETS KOUASSI;Bouaké;332 384 F;7%;Livrée
08/12/2024;SARL BATIMAT;;929 885 F;0%;En cours
19/07/2024;SCI LES PALMES;;589 896 F;10%;Annulée
13/03/2024;GROUPE IVOSOL;;83 075 F;19%;En cours
21/08/2024;GROUPE IVOSOL;Abidjan;272 019 F;13%;Annulée
20/05/2024;SCI LES PALMES;Abidjan ;189 007 F;5%;En cours
17/06/2024;ETS KOUASSI;;365 705 F;17%;En cours
19/09/2024;SARL BATIMAT;;572 661 F;0%;Annulée
01/04/2024;SARL BATIMAT;;487 986 F;17%;Livrée
01/12/2024;SARL BATIMAT;Abidjan;513 081 F;16%;Livrée
;;;;;
Total général;;;;;
